瘤痢,瘤痢疙,老矫,扁柯(∑C),浅氢(deg),浅加(m/s),碍荐樊(mm),泅瘤扁拘(hPa),秦搁扁拘(hPa),嚼档(%)
702,劳魂,2026-01-01 00:00,-5.9,34.5,1.2,0,1027.2,1028.6,73
702,劳魂,2026-01-01 01:00,-5.1,117.1,3.3,0,1026.7,1028.1,65
702,劳魂,2026-01-01 02:00,-6,13.5,2.8,0,1026.5,1027.9,71
702,劳魂,2026-01-01 03:00,-6.7,66.6,3.3,0,1026.4,1027.8,71
702,劳魂,2026-01-01 04:00,-7,.4,2.6,0,1026.4,1027.8,70
702,劳魂,2026-01-01 05:00,-7.3,152,2.5,0,1026.3,1027.7,65
702,劳魂,2026-01-01 06:00,-7.5,55.7,2.1,0,1026.2,1027.6,67
702,劳魂,2026-01-01 07:00,-7.9,300.7,1.3,0,1026.6,1028.1,67
702,劳魂,2026-01-01 08:00,-8.4,0,0,0,1026.8,1028.3,76
702,劳魂,2026-01-01 09:00,-7,15.6,2.5,0,1027,1028.4,59
702,劳魂,2026-01-01 10:00,-6.2,.1,1.5,0,1027.6,1029,61
702,劳魂,2026-01-01 11:00,-5.1,334.9,3.8,0,1027.5,1028.9,51
702,劳魂,2026-01-01 12:00,-4.1,355.1,1.8,0,1026.7,1028.1,47
702,劳魂,2026-01-01 13:00,-2.9,30.3,2.5,0,1025.8,1027.2,40
702,劳魂,2026-01-01 14:00,-2.2,354.1,1.8,0,1024.7,1026.1,35
702,劳魂,2026-01-01 15:00,-1.6,0,0,0,1024.3,1025.7,31
702,劳魂,2026-01-01 16:00,-1.5,0,.4,0,1024.2,1025.6,34
702,劳魂,2026-01-01 17:00,-2,0,0,0,1024.2,1025.6,32
702,劳魂,2026-01-01 18:00,-2.6,0,0,0,1024.1,1025.5,35
702,劳魂,2026-01-01 19:00,-3.1,0,0,0,1024.1,1025.5,41
702,劳魂,2026-01-01 20:00,-3.4,334.2,2.9,0,1024,1025.4,47
702,劳魂,2026-01-01 21:00,-4,356.6,2.5,0,1023.7,1025.1,51
702,劳魂,2026-01-01 22:00,-4.2,336.9,1.5,0,1023.5,1024.9,58
702,劳魂,2026-01-01 23:00,-4.2,336.7,1.5,0,1023.4,1024.8,67
702,劳魂,2026-01-02 00:00,-4.4,321.7,1.1,0,1023.3,1024.7,70
702,劳魂,2026-01-02 01:00,-4.8,347.5,3.1,0,1023,1024.4,66
702,劳魂,2026-01-02 02:00,-5.6,238.9,3.4,0,1023.4,1024.8,61
702,劳魂,2026-01-02 03:00,-6.2,23.2,1.2,0,1023.8,1025.2,66
702,劳魂,2026-01-02 04:00,-7.1,0,0,0,1023.8,1025.2,71
702,劳魂,2026-01-02 05:00,-7.9,0,0,0,1023.7,1025.1,74
702,劳魂,2026-01-02 06:00,-8.5,0,0,0,1023.8,1025.3,76
702,劳魂,2026-01-02 07:00,-9,0,,0,1024.2,1025.7,77
702,劳魂,2026-01-02 08:00,-8.8,,,0,1024.9,1026.4,77
702,劳魂,2026-01-02 09:00,-6.9,,,0,1025.4,1026.8,70
702,劳魂,2026-01-02 10:00,-6.1,0,0,0,1026,1027.4,68
702,劳魂,2026-01-02 11:00,-5.7,0,0,0,1026.2,1027.6,62
702,劳魂,2026-01-02 12:00,-4.5,0,0,0,1025.1,1026.5,55
702,劳魂,2026-01-02 13:00,-2.6,0,.2,0,1024.1,1025.5,53
702,劳魂,2026-01-02 14:00,-1.6,274,1.9,0,1023.4,1024.8,54
702,劳魂,2026-01-02 15:00,-.6,277.4,1.9,0,1023.2,1024.6,55
702,劳魂,2026-01-02 16:00,-.8,297.5,4.7,0,1023.3,1024.7,60
702,劳魂,2026-01-02 17:00,-1.9,312,4.4,0,1023.5,1024.9,72
702,劳魂,2026-01-02 18:00,-2.1,297,3.1,0,1023.9,1025.3,72
702,劳魂,2026-01-02 19:00,-2.1,359.1,2.6,0,1024.5,1025.9,67
702,劳魂,2026-01-02 20:00,-2.7,90.4,2.7,0,1024.8,1026.2,64
702,劳魂,2026-01-02 21:00,-3,26.1,2.5,0,1024.9,1026.3,66
702,劳魂,2026-01-02 22:00,-3.2,41.7,2.4,0,1025.2,1026.6,66
702,劳魂,2026-01-02 23:00,-4.5,60.4,1.6,0,1025.7,1027.1,75
702,劳魂,2026-01-03 00:00,-4.3,44.4,1.7,0,1026.2,1027.6,70
702,劳魂,2026-01-03 01:00,-5.7,0,.1,0,1026.1,1027.5,74
702,劳魂,2026-01-03 02:00,-6.8,0,0,0,1026.3,1027.7,80
702,劳魂,2026-01-03 03:00,-8.1,0,0,0,1026.7,1028.2,86
702,劳魂,2026-01-03 04:00,-6.8,49.1,1.3,0,1026.6,1028,78
702,劳魂,2026-01-03 05:00,-6.3,58.6,2.4,0,1026.4,1027.8,77
702,劳魂,2026-01-03 06:00,-6.9,62.6,1.5,0,1026.5,1027.9,78
702,劳魂,2026-01-03 07:00,-7.6,0,.1,0,1026.8,1028.3,85
702,劳魂,2026-01-03 08:00,-8,54,1.2,0,1027.5,1029,83
702,劳魂,2026-01-03 09:00,-5.2,71.9,1.3,0,1027.7,1029.1,76
702,劳魂,2026-01-03 10:00,-2.3,95.9,2.1,0,1027.9,1029.3,71
702,劳魂,2026-01-03 11:00,-.4,119.6,2.5,0,1027.7,1029.1,66
702,劳魂,2026-01-03 12:00,1.3,305.2,1.1,0,1026.9,1028.3,64
702,劳魂,2026-01-03 13:00,2.4,330.6,2.4,0,1025.9,1027.3,58
702,劳魂,2026-01-03 14:00,2,330.9,1.8,0,1025.5,1026.9,63
702,劳魂,2026-01-03 15:00,1.5,229.6,2.5,0,1025.3,1026.7,69
702,劳魂,2026-01-03 16:00,1.6,236.7,1,0,1025.4,1026.8,70
702,劳魂,2026-01-03 17:00,1.4,0,0,0,1025.2,1026.6,69
702,劳魂,2026-01-03 18:00,.9,0,0,0,1025.2,1026.6,72
702,劳魂,2026-01-03 19:00,.5,45.4,.7,0,1025.1,1026.5,75
702,劳魂,2026-01-03 20:00,.6,0,0,0,1024.8,1026.2,74
702,劳魂,2026-01-03 21:00,.8,0,0,0,1024.9,1026.3,73
702,劳魂,2026-01-03 22:00,.5,0,0,0,1024.9,1026.3,75
702,劳魂,2026-01-03 23:00,.2,0,0,0,1025,1026.4,78
702,劳魂,2026-01-04 00:00,.2,,,0,1024.8,1026.2,79
702,劳魂,2026-01-04 01:00,-.1,,,0,1024.5,1025.9,78
702,劳魂,2026-01-04 02:00,-.4,,,0,1024.5,1025.9,84
702,劳魂,2026-01-04 03:00,.1,,,0,1024.5,1025.9,82
702,劳魂,2026-01-04 04:00,-.2,,,0,1023.7,1025.1,86
702,劳魂,2026-01-04 05:00,.6,,,0,1023.6,1025,81
702,劳魂,2026-01-04 06:00,-.1,,,0,1023.7,1025.1,87
702,劳魂,2026-01-04 07:00,-.2,,,0,1023.9,1025.3,88
702,劳魂,2026-01-04 08:00,.4,,,0,1024.1,1025.5,84
702,劳魂,2026-01-04 09:00,.8,,,0,1024.4,1025.8,85
702,劳魂,2026-01-04 10:00,2.7,,,0,1024.5,1025.9,74
702,劳魂,2026-01-04 11:00,3.7,,,0,1024.7,1026.1,71
702,劳魂,2026-01-04 12:00,5.1,244.8,1,0,1024,1025.4,67
702,劳魂,2026-01-04 13:00,5.3,168.8,1.2,0,1023.2,1024.6,68
702,劳魂,2026-01-04 14:00,6.3,214.2,2.5,0,1022.4,1023.8,67
702,劳魂,2026-01-04 15:00,5.8,229.8,4.1,0,1022,1023.4,70
702,劳魂,2026-01-04 16:00,5.2,238.6,4.4,0,1021.3,1022.7,70
702,劳魂,2026-01-04 17:00,4.6,255.7,2.6,0,1021.2,1022.6,71
702,劳魂,2026-01-04 18:00,2.9,245.4,1.5,0,1021.2,1022.6,75
702,劳魂,2026-01-04 19:00,2.5,262.1,2.3,0,1021.6,1023,77
702,劳魂,2026-01-04 20:00,3.5,288.3,2.2,0,1021.1,1022.5,68
702,劳魂,2026-01-04 21:00,3,301.5,.8,0,1021.2,1022.6,69
702,劳魂,2026-01-04 22:00,-.6,109.5,1.8,0,1021.1,1022.5,84
702,劳魂,2026-01-04 23:00,-.7,0,0,0,1021.1,1022.5,87
702,劳魂,2026-01-05 00:00,-1.3,0,.4,0,1021.3,1022.7,88
702,劳魂,2026-01-05 01:00,-1.7,95.4,.7,0,1020.9,1022.3,90
702,劳魂,2026-01-05 02:00,-1.5,0,0,0,1021,1022.4,91
702,劳魂,2026-01-05 03:00,-1.2,0,0,0,1021,1022.4,90
702,劳魂,2026-01-05 04:00,-1.9,0,0,0,1020.3,1021.7,92
702,劳魂,2026-01-05 05:00,-2.6,0,,0,1020.3,1021.7,92
702,劳魂,2026-01-05 06:00,-3.6,,,0,1020.2,1021.6,92
702,劳魂,2026-01-05 07:00,-4.1,,,0,1020.8,1022.2,93
702,劳魂,2026-01-05 08:00,-2.8,,,0,1021.1,1022.5,93
702,劳魂,2026-01-05 09:00,-1.1,,,0,1021.3,1022.7,93
702,劳魂,2026-01-05 10:00,1.3,71.5,.9,0,1021.8,1023.2,85
702,劳魂,2026-01-05 11:00,3.2,49.1,2.7,0,1021.6,1023,64
702,劳魂,2026-01-05 12:00,3.5,355.9,2.1,0,1020.9,1022.3,65
702,劳魂,2026-01-05 13:00,3.6,324.7,2.5,0,1020,1021.4,62
702,劳魂,2026-01-05 14:00,5,7.4,1.4,0,1019.5,1020.9,54
702,劳魂,2026-01-05 15:00,5,1.8,2.2,0,1019.4,1020.8,44
702,劳魂,2026-01-05 16:00,4.8,295,5.1,0,1019.9,1021.3,32
702,劳魂,2026-01-05 17:00,3.1,305.3,5,0,1020.6,1022,34
