시군,소 재 지,시설용량,처리방법,최초 준공일,증설보강공사,운영방법,비고
익산,왕궁면 온수 1길 40,700,CLR(단독처리),1999-01-04,2012-03-31 + 2017-06-30,위탁운영,
정읍,영파길 121,220,액상부식(하수연계),1998-11-28,2000-02-17+ 2004-04-07+ 2015-06-02,위탁운영,분뇨(100)병합
정읍샘골,정우남산길 56-90,95,(단독처리)호기성퇴비화,2017-06-08,,직영,
김제,용지면 금백로 731-68,300,"액상부식, BCS(단독처리)",1998-12-27,2000-12-23+ 2012-10-04+ 2015-02-09+ 2017-03-07,위탁운영,
완주,삼례읍 후사제방길 62,120,액상부식(하수연계),1993-05-31,2014-12-18+ 2017-05-19,위탁운영,분뇨(50)병합
부안,계화면 새포로 465-290,40,액상부식(단독처리),2007-01-30,2014-12-30,위탁운영,분뇨(40)병합
진안,진안읍 전진로 3183-99,100,액상부식(단독처리),2000-04-22,2001-12-27+ 2013-01-21,직영,
무주,무주읍 당산강변로 14,50,BCS(하수연계),2006-01-01,,위탁운영,
장수,장계면 금곡로 335-7,120,"바이오서프-Ⅱ,(단독처리)호기성퇴비화",2000-05-28,,직영,분뇨(30)병합
임실,오수면 용정길 117-98,100,KHTS(하수연계),1996-09-25,,직영,분뇨(30)병합
순창(가동중지),유등면 향가로 53,100,액상부식(하수연계),1999-12-31,,위탁운영,분뇨(30)병합
고창,공음면 덕암로 77-8,95,BCS(단독처리),2013-12-04,,직영,
