연번,시군명,업체명,소재지,사육업종,등록 또는 허가여부,데이터기준일자,매칭_상호,매칭_카테고리,매칭_지번주소,매칭_도로명주소,위도,경도
1,김제시,장산농장,전북특별자치도 김제시 만경읍 장산리 ***번지  ,돼지,허가,2025-05-15,,,,,,
2,김제시,호남AI센터,전북특별자치도 김제시 만경읍 장산리 ***번지 *호  ,돼지,등록 ,2025-05-15,,,,,,
3,김제시,오리박사농원,전북특별자치도 김제시 만경읍 대동리 ***번지 외 *필지 ,오리,허가,2025-05-15,미성영농조합오리박사농원,"서비스,산업>축산업",전북특별자치도 김제시 만경읍 대동리 141 미성영농조합 아빠덕애 오리박사농원,전북특별자치도 김제시 만경읍 대동길 274-42 미성영농조합 아빠덕애 오리박사농원,35.8499499,126.8520599
4,김제시,조산농장,전북특별자치도 김제시 만경읍 대동리 **번지 **호  ,육계,허가,2025-05-15,조산농장,"시설,건물>농공시설",전북특별자치도 김제시 만경읍 대동리 76-20,전북특별자치도 김제시 만경읍 점촌3길 305,35.8409676,126.8567643
5,김제시,만경농장1,전북특별자치도 김제시 만경읍 장산리 ***번지  ,육계,허가,2025-05-15,한민농장현장실습교육장,"여행,명소>관광농원,팜스테이",전북특별자치도 김제시 만경읍 화포리 547-1,전북특별자치도 김제시 만경읍 화포로 475,35.8825133,126.8114065
6,김제시,제항양계장,전북특별자치도 김제시 만경읍 송상리 ***번지 *호  ,육계,허가,2025-05-15,,,,,,
7,김제시,다온팜,전북특별자치도 김제시 만경읍 송상리 *번지 *호  ,육계,허가,2025-05-15,,,,,,
8,김제시,산숙농장,전북특별자치도 김제시 만경읍 몽산리 ***번지  ,육계,등록 ,2025-05-15,,,,,,
9,김제시,경원농장,"전북특별자치도 김제시 만경읍 화포리 ***번지 (***, ***, ***, ****-*) ",육계,허가,2025-05-15,,,,,,
10,김제시,풍배농장,전북특별자치도 김제시 만경읍 만경리 **번지  ,육계,등록 ,2025-05-15,,,,,,
11,김제시,동진농장,전북특별자치도 김제시 만경읍 화포리 ***번지 *호  ,육계,허가,2025-05-15,,,,,,
