순번,시군구명,업체명,소재지,주사육업종,데이터기준일
1,완주군,혜성농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
2,완주군,보현농장,전북특별자치도 완주군 화산면,돼지,2025-01-23
3,완주군,김태종농장,전북특별자치도 완주군 봉동읍,돼지,2025-01-23
4,완주군,고산농장,전북특별자치도 완주군 고산면,돼지,2025-01-23
5,완주군,화심농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
6,완주군,반씨농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
7,완주군,영화농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
8,완주군,E.L농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
9,완주군,동양농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
10,완주군,누리농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
11,완주군,멍청이농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
12,완주군,신왕농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
13,완주군,한울농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
14,완주군,능암농장,전북특별자치도 완주군 비봉면,돼지,2025-01-23
15,완주군,서영택농장,전북특별자치도 완주군 구이면,돼지,2025-01-23
16,완주군,이효택농장,전북특별자치도 완주군 구이면,돼지,2025-01-23
17,완주군,정병식농장,전북특별자치도 완주군 고산면,돼지,2025-01-23
18,완주군,송철호농장,전북특별자치도 완주군 고산면,돼지,2025-01-23
19,완주군,명임농장,전북특별자치도 완주군 고산면,돼지,2025-01-23
20,완주군,장군농장,전북특별자치도 완주군 고산면,돼지,2025-01-23
21,완주군,농업회사법인 주식회사 돈드림,전북특별자치도 완주군 고산면,돼지,2025-01-23
22,완주군,성기 농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
23,완주군,모고지 농장,전북특별자치도 완주군 이서면,돼지,2025-01-23
24,완주군,운주농장,전북특별자치도 완주군 운주면,돼지,2025-01-23
25,완주군,영호농장,전북특별자치도 완주군 상관면,돼지,2025-01-23
26,완주군,송복규농장,전북특별자치도 완주군 봉동읍,돼지,2025-01-23
27,완주군,이춘기농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
28,완주군,벧엘농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
29,완주군,신철호농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
30,완주군,농업회사법인주식회사두지팜,전북특별자치도 완주군 소양면,돼지,2025-01-23
31,완주군,두리농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
32,완주군,효림농장,전북특별자치도 완주군 소양면,돼지,2025-01-23
33,완주군,김길문농장,전북특별자치도 완주군 구이면,돼지,2025-01-23
