상호,주소,가축분뇨폐수량,처리방법,데이터기준일자,기타
삼부농장,전북특별자치도 익산시 춘포면 오산리 161,3.6,저장액비화 외 1건,2024-12-11,
,전북특별자치도 익산시 오산면 장신리 926-9,2.7,저장조,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 광암리 470,1.8,저장조,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 광암리 산 50,2,저장조,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 성당면 대선리 339,2.6,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
재우스농장,전북특별자치도 익산시 춘포면 천서리 6-1,3.3,저장액비화 외 3건,2024-12-11,
,전북특별자치도 익산시 성당면 대선리 369,0,저장액비화 외 8건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 성당면 대선리 354-1 373-1 374,3.4,저장액비화 외 9건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 용동면 용성리 131,2.76,저장액비화 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 오산면 송학리 711-1,2,저장조,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 함열읍 다송리 산 23-1,1.3,저장조,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 황등면 구자리 7-39 산11-1 11-15 85,2,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 여산면 제남리 265,1,저장액비화,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 구덕리 451-1 451-3,2.6,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 성당면 장선리 106-3,3.6,살수여상 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 성당면 두동리 101-1,1.8,산화구,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 웅포면 웅포리 392,1.4,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 성당면 성당리 68,3,산화구 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 광암리 산 39-3,2.9,저장조 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 왕궁면 흥암리 577-1 외 1필지,2.5,톱밥발효 외 3건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 은기동 461,1,장기폭기법,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 낭산면 성남리 135-7,2.4,기타 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 덕기동 374-3,1.8,기타 외 1건,2024-12-11,상호명이 존재하지 않아 공란처리
삼기양돈,전북특별자치도 익산시 삼기면 기산리 403-1,3.2,저장조 외 1건,2024-12-11,
,전북특별자치도 익산시 삼기면 오룡리 767-1,3.5,저장조,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 삼기면 연동리 181 외1필지,2,톱밥발효돈사,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 삼기면 기산리 677-5,1.3,기타,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 웅포면 제성리 190,1.4,살수여상,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 망성면 어량리 1255,3.3,교반식 톱밥발효시설,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 망성면 어량리 443-1 외3필지,1.8,교반식 톱밥발효시설,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 용동면 대조리 23-16,3.4,교반식 톱밥발효시설,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 용동면 화실리 573,1.1,저장조,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 웅포면 대붕암리 373,2,살수여상,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 용동면 대조리 136-2,2.1,교반식 톱밥발효시설,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 망성면 신작리 959-9 959-4,1.5,저장조,2024-12-11,상호명이 존재하지 않아 공란처리
사결 농장,전북특별자치도 익산시 망성면 어량리 1770-17,2.9,저장액비화 외 1건,2024-12-11,
,전북특별자치도 익산시 왕궁면 발산리 113,0.9,저장조,2024-12-11,상호명이 존재하지 않아 공란처리
삼삼농장,전북특별자치도 익산시 낭산면 성남리 925-5,0,교반식 톱밥발효시설,2024-12-11,
,전북특별자치도 익산시 낭산면 구평리 925-3,0,교반식 톱밥발효시설,2024-12-11,상호명이 존재하지 않아 공란처리
,전북특별자치도 익산시 성당면 대선리 331-1,3,저장액비화 외 2건,2024-12-11,상호명이 존재하지 않아 공란처리
