센서명,날짜,복합악취,황화수소,암모니아,TVOC
체리부로주,2024-09-02 00:00,2.0,0.003,0.006,0.31
체리부로주,2024-09-02 00:05,2.0,0.003,0.009,0.311
체리부로주,2024-09-02 00:10,2.0,0.003,0.006,0.311
체리부로주,2024-09-02 00:15,2.0,0.003,0.005,0.312
체리부로주,2024-09-02 00:20,2.0,0.002,0.004,0.314
체리부로주,2024-09-02 00:25,2.0,0.003,0.005,0.314
체리부로주,2024-09-02 00:30,2.0,0.003,0.003,0.316
체리부로주,2024-09-02 00:35,2.0,0.003,0.006,0.318
체리부로주,2024-09-02 00:40,2.0,0.002,0.008,0.318
체리부로주,2024-09-02 00:45,2.0,0.002,0.009,0.321
체리부로주,2024-09-02 00:50,2.0,0.002,0.006,0.322
체리부로주,2024-09-02 00:55,2.0,0.003,0.004,0.324
체리부로주,2024-09-02 01:00,2.0,0.002,0.004,0.326
체리부로주,2024-09-02 01:05,2.0,0.003,0.005,0.326
체리부로주,2024-09-02 01:10,2.0,0.002,0.005,0.328
체리부로주,2024-09-02 01:15,2.0,0.003,0.004,0.329
체리부로주,2024-09-02 01:20,2.0,0.003,0.005,0.329
체리부로주,2024-09-02 01:25,2.0,0.002,0.006,0.332
체리부로주,2024-09-02 01:30,2.0,0.002,0.006,0.333
체리부로주,2024-09-02 01:35,2.0,0.002,0.003,0.33
체리부로주,2024-09-02 01:40,2.0,0.003,0.006,0.327
체리부로주,2024-09-02 01:45,2.3,0.003,0.003,0.328
체리부로주,2024-09-02 01:50,3.0,0.003,0.004,0.332
체리부로주,2024-09-02 01:55,2.8,0.002,0.003,0.329
체리부로주,2024-09-02 02:00,2.1,0.002,0.005,0.328
체리부로주,2024-09-02 02:05,2.3,0.002,0.005,0.329
체리부로주,2024-09-02 02:10,2.0,0.002,0.005,0.33
체리부로주,2024-09-02 02:15,2.0,0.003,0.004,0.329
체리부로주,2024-09-02 02:20,2.0,0.003,0.005,0.329
체리부로주,2024-09-02 02:25,2.0,0.003,0.006,0.328
체리부로주,2024-09-02 02:30,2.0,0.002,0.007,0.329
체리부로주,2024-09-02 02:35,2.0,0.002,0.005,0.33
체리부로주,2024-09-02 02:40,2.0,0.002,0.004,0.329
체리부로주,2024-09-02 02:45,2.0,0.002,0.005,0.329
체리부로주,2024-09-02 02:50,2.0,0.003,0.005,0.329
체리부로주,2024-09-02 02:55,2.0,0.002,0.006,0.328
체리부로주,2024-09-02 03:00,2.0,0.003,0.005,0.329
