순번,업체명,소재지,신고일자,영업상태,사육업종,등록허가여부,시설면적(제곱미터),사육두수,데이터기준일자
1,대규농장,전북특별자치도 익산시 왕궁면 흥암리 1075번지 18호,2004-05-25,정상,돼지,등록대상 ,500,441,2024-12-31
2,희망농장,전북특별자치도 익산시 왕궁면 구덕리 90번지 73호,2004-08-24,정상,돼지,등록대상 ,960.6,950,2024-12-31
3,수덕농장,전북특별자치도 익산시 용동면 화배리 234번지,2004-10-20,정상,한우,허가대상,2374.6,105,2024-12-31
4,상원농장,전북특별자치도 익산시 함라면 금성리 819번지,2004-11-01,정상,한우,허가대상,1000,39,2024-12-31
5,용산농장,"전북특별자치도 익산시 함라면 신대리 502번지 6호 , -20 ",2004-11-15,정상,한우,허가대상,514.6,12,2024-12-31
6,다은농장,전북특별자치도 익산시 함라면 신대리 197번지 16호  ,2004-11-15,정상,한우,허가대상,1708.2,175,2024-12-31
7,중원농장,"전북특별자치도 익산시 함라면 신대리 236번지 15호 , -59, 850-1 ",2004-11-16,정상,한우,허가대상,1427.91,120,2024-12-31
8,번영농장,전북특별자치도 익산시 함라면 신대리 2번지 4호  ,2004-11-16,정상,육계,허가대상,1320.64,20000,2024-12-31
9,샤르망승마장,전북특별자치도 익산시 함라면 신등리 산 145번지 19호  ,2004-11-16,정상,한우,허가대상,344,20,2024-12-31
10,수양1 농장,전북특별자치도 익산시 함라면 함열리 794번지 3호  ,2004-11-16,정상,한우,허가대상,3841.1,150,2024-12-31
11,수양2 농장,전북특별자치도 익산시 함라면 함열리 751번지  ,2004-11-16,정상,한우,등록대상 ,862.56,80,2024-12-31
12,두리농장,"전북특별자치도 익산시 낭산면 용기리 447번지 1호 ,448, 452, -1, 453-1, -2, 454-3, 456-1, 457-1, 463-1, 1833-1 ",2004-11-24,정상,돼지,허가대상,2411.9,2300,2024-12-31
13,신등목장,전북특별자치도 익산시 함라면 신목리 산 6번지 1호  ,2004-12-20,정상,한우,허가대상,1053.9,90,2024-12-31
