event_hour,event_id,asos_blowing_to_deg,asos_wind_speed_3h,asos_rain_3h,asos_direction_sd,asos_stagnation_flag,asos_source
2019-07-13 08:00:00,EVT-0001,,,,,,none
2019-07-23 07:00:00,EVT-0003,,,,,,none
2019-07-23 23:00:00,EVT-0004,,,,,,none
2019-07-24 00:00:00,EVT-0005,,,,,,none
2019-07-24 08:00:00,EVT-0006,,,,,,none
2019-07-26 08:00:00,EVT-0007,,,,,,none
2019-07-28 23:00:00,EVT-0009,,,,,,none
2019-07-29 00:00:00,EVT-0010,,,,,,none
2019-07-29 21:00:00,EVT-0011,,,,,,none
2019-07-30 00:00:00,EVT-0012,,,,,,none
2019-07-30 01:00:00,EVT-0013,,,,,,none
2019-07-30 02:00:00,EVT-0014,,,,,,none
2019-07-30 21:00:00,EVT-0015,,,,,,none
2019-08-01 06:00:00,EVT-0016,,,,,,none
2019-08-02 06:00:00,EVT-0017,,,,,,none
2019-08-03 18:00:00,EVT-0018,,,,,,none
2019-08-03 21:00:00,EVT-0019,,,,,,none
2019-08-03 22:00:00,EVT-0020,,,,,,none
2019-08-03 23:00:00,EVT-0021,,,,,,none
2019-08-04 00:00:00,EVT-0022,,,,,,none
2019-08-04 01:00:00,EVT-0023,,,,,,none
2019-08-07 04:00:00,EVT-0024,,,,,,none
2019-08-07 05:00:00,EVT-0025,,,,,,none
2019-08-08 17:00:00,EVT-0026,,,,,,none
2019-08-08 18:00:00,EVT-0027,,,,,,none
2019-08-08 22:00:00,EVT-0028,,,,,,none
2019-08-08 23:00:00,EVT-0029,,,,,,none
2019-08-10 06:00:00,EVT-0030,,,,,,none
2019-08-10 22:00:00,EVT-0031,,,,,,none
2019-08-13 00:00:00,EVT-0032,,,,,,none
2019-08-19 00:00:00,EVT-0033,,,,,,none
2019-08-23 07:00:00,EVT-0034,,,,,,none
2019-08-24 23:00:00,EVT-0037,,,,,,none
2019-08-26 01:00:00,EVT-0038,,,,,,none
2019-08-28 23:00:00,EVT-0039,,,,,,none
2019-08-29 00:00:00,EVT-0040,,,,,,none
2019-08-30 21:00:00,EVT-0041,,,,,,none
2019-08-31 22:00:00,EVT-0043,,,,,,none
2019-08-31 23:00:00,EVT-0044,,,,,,none
2019-09-03 22:00:00,EVT-0045,,,,,,none
2019-09-04 18:00:00,EVT-0046,,,,,,none
2019-09-04 19:00:00,EVT-0047,,,,,,none
2019-09-04 23:00:00,EVT-0048,,,,,,none
2019-09-05 09:00:00,EVT-0049,,,,,,none
2019-09-10 20:00:00,EVT-0050,,,,,,none
2019-09-17 00:00:00,EVT-0052,,,,,,none
2019-10-01 16:00:00,EVT-0053,,,,,,none
2020-07-06 07:00:00,EVT-0056,279.7796286058507,0.44348424574344636,0.0,47.24285297684324,1.0,asos
2020-07-23 08:00:00,EVT-0057,280.9145995445405,1.0137705222474152,5.464914196825698,51.92509806748254,1.0,asos
2020-08-01 21:00:00,EVT-0059,321.5227504324605,1.8931503481504832,0.0,41.57533188506629,0.0,asos
2020-08-01 22:00:00,EVT-0060,319.89657880394884,2.242469461025253,0.0,11.665200666402555,0.0,asos
2020-08-02 21:00:00,EVT-0062,340.0,2.3063296797371264,0.0,0.0,0.0,asos
2020-08-02 22:00:00,EVT-0063,342.82763570962993,2.541200546912421,0.0,5.425032608909174,0.0,asos
2020-08-03 22:00:00,EVT-0064,343.0004245599695,1.6889767323879823,0.0,3.8243824601131,0.0,asos
2020-08-04 02:00:00,EVT-0065,324.67216130785874,1.896227839116948,0.0,12.052475014952488,0.0,asos
2020-08-04 20:00:00,EVT-0067,6.116265025678388,2.2494285929433175,0.0,26.985659717729664,0.0,asos
2020-08-04 21:00:00,EVT-0068,338.3620104023115,2.3611543900231515,0.0,21.660676677176244,0.0,asos
2020-08-04 22:00:00,EVT-0069,323.2581234743599,2.1317309375560463,0.0,4.146926055384518,0.0,asos
2020-08-06 22:00:00,EVT-0070,23.95164714526038,1.0578343091072278,0.0,55.76763232491835,1.0,asos
2020-08-06 23:00:00,EVT-0071,345.5003602101501,0.7852615802244511,0.0,107.65323996730973,1.0,asos
2020-08-08 22:00:00,EVT-0072,337.66401775481035,1.8352903364189035,0.29209120530056704,9.444082306679487,0.0,asos
2020-08-09 19:00:00,EVT-0073,356.7197162620821,2.6010598068648183,0.0,13.575611576203181,0.0,asos
2020-08-09 20:00:00,EVT-0074,353.7313152326346,2.3892849182396074,0.0,5.202037527521205,0.0,asos
2020-08-09 21:00:00,EVT-0075,342.80746716281635,2.232616604277546,0.0,8.415079957519653,0.0,asos
2020-08-09 22:00:00,EVT-0076,340.9047456190826,2.094584123415543,0.0,13.010219008866528,0.0,asos
2020-08-10 19:00:00,EVT-0077,351.91810896401023,1.1264102965179994,1.2989012707914256,45.29041922403775,1.0,asos
2020-08-13 00:00:00,EVT-0078,311.4760119434393,1.1609870620937843,0.0,8.381937493590666,0.0,asos
2020-08-13 01:00:00,EVT-0079,312.6557773045303,1.416498050013729,0.0,7.9113960538599875,0.0,asos
