분석대상,조건,시간한계_분,거리하한_km,거리상한_km,인접민원존재_신고수,전체신고수,비율_pct
익산시만,30분 + 500m,30,0.0,0.5,4704,11955,39.34755332496863
익산시만,30분 + 1km,30,0.0,1.0,5834,11955,48.79966541196153
익산시만,1시간 + 1km,60,0.0,1.0,6497,11955,54.34546214972815
익산시만,1시간 + 2km,60,0.0,2.0,7489,11955,62.64324550397323
익산시만,2시간 + 3km,120,0.0,3.0,8547,11955,71.4930991217064
익산시+삼례읍,30분 + 500m,30,0.0,0.5,5432,12972,41.874807277212454
익산시+삼례읍,30분 + 1km,30,0.0,1.0,6584,12972,50.7554733271662
익산시+삼례읍,1시간 + 1km,60,0.0,1.0,7289,12972,56.190255935861856
익산시+삼례읍,1시간 + 2km,60,0.0,2.0,8297,12972,63.96083872957139
익산시+삼례읍,2시간 + 3km,120,0.0,3.0,9404,12972,72.49460376194882
