익산시시간대,삼례읍시간대,시간차_분,익산시신고수,삼례읍신고수,합계신고수,최소거리_km,근접교차쌍수
2021-08-02 21:00:00,2021-08-02 21:00:00,0.0,5,6,11,2.351180993417634,6
2022-07-15 05:00:00,2022-07-15 07:00:00,120.0,1,9,10,1.1862968078811875,9
2021-08-03 21:00:00,2021-08-03 19:00:00,120.0,3,7,10,2.3100571628814097,7
2021-08-06 21:00:00,2021-08-06 23:00:00,120.0,4,6,10,2.1523187626879605,6
2021-08-06 21:00:00,2021-08-06 22:00:00,60.0,4,5,9,2.2590415624968516,5
2022-10-09 14:00:00,2022-10-09 13:00:00,60.0,1,7,8,1.0246260750351182,7
2022-10-19 17:00:00,2022-10-19 19:00:00,120.0,1,7,8,2.012135355979008,7
2021-08-14 19:00:00,2021-08-14 19:00:00,0.0,2,5,7,1.1847283461201443,5
2021-03-12 11:00:00,2021-03-12 11:00:00,0.0,1,5,6,2.1546072978632487,5
2021-07-19 21:00:00,2021-07-19 23:00:00,120.0,1,5,6,2.2322942361865747,5
2021-09-13 19:00:00,2021-09-13 19:00:00,0.0,2,4,6,0.29399020650901436,4
2021-09-12 20:00:00,2021-09-12 18:00:00,120.0,5,1,6,2.376111343722981,1
2021-09-12 20:00:00,2021-09-12 19:00:00,60.0,5,1,6,1.1862968078811875,1
2023-01-21 19:00:00,2023-01-21 19:00:00,0.0,2,3,5,0.29616105963658984,6
2021-06-15 14:00:00,2021-06-15 13:00:00,60.0,1,4,5,2.183577396260918,4
2022-07-22 21:00:00,2022-07-22 23:00:00,120.0,1,4,5,1.4187890076831386,4
2021-10-05 21:00:00,2021-10-05 20:00:00,60.0,3,2,5,1.1847283461201443,2
2023-03-10 20:00:00,2023-03-10 20:00:00,0.0,2,2,4,0.3038383398674623,4
2023-05-16 21:00:00,2023-05-16 21:00:00,0.0,2,2,4,0.29817311117285883,4
2023-06-08 21:00:00,2023-06-08 21:00:00,0.0,2,2,4,0.2956078209837863,4
2020-02-15 16:00:00,2020-02-15 16:00:00,0.0,1,3,4,1.0398139861087874,3
2020-09-06 20:00:00,2020-09-06 18:00:00,120.0,1,3,4,0.9263376314034506,3
2023-09-01 21:00:00,2023-09-01 19:00:00,120.0,1,3,4,1.1453919930570091,3
2023-10-13 19:00:00,2023-10-13 19:00:00,0.0,1,3,4,0.8306169274385196,3
2021-07-19 18:00:00,2021-07-19 17:00:00,60.0,1,2,3,0.5138954604442922,2
2021-07-19 18:00:00,2021-07-19 20:00:00,120.0,1,2,3,0.23933025743540054,2
2021-07-19 21:00:00,2021-07-19 20:00:00,60.0,1,2,3,1.1847283461201443,2
2021-09-19 19:00:00,2021-09-19 18:00:00,60.0,1,2,3,0.39566962607773504,2
2021-09-19 19:00:00,2021-09-19 19:00:00,0.0,1,2,3,0.39566962607773504,2
2022-02-13 10:00:00,2022-02-13 10:00:00,0.0,2,1,3,1.0613751294011584,2
2023-01-18 21:00:00,2023-01-18 20:00:00,60.0,2,1,3,0.29670854883001313,2
2023-05-06 15:00:00,2023-05-06 15:00:00,0.0,2,1,3,0.3003174225741053,2
2023-05-06 15:00:00,2023-05-06 16:00:00,60.0,2,1,3,0.29993338218832233,2
2023-05-18 22:00:00,2023-05-18 22:00:00,0.0,1,2,3,0.3100590625577553,2
2023-05-19 19:00:00,2023-05-19 19:00:00,0.0,1,2,3,0.28553865453627936,2
2023-09-27 14:00:00,2023-09-27 14:00:00,0.0,1,2,3,1.0782738564907615,2
2023-10-11 20:00:00,2023-10-11 20:00:00,0.0,1,2,3,0.29588045073764396,2
2021-08-14 19:00:00,2021-08-14 17:00:00,120.0,2,1,3,1.4187890076831386,1
2021-08-17 23:00:00,2021-08-17 23:00:00,0.0,2,1,3,2.376111343722981,1
2021-09-11 23:00:00,2021-09-11 21:00:00,120.0,2,1,3,2.376111343722981,1
2023-01-28 21:00:00,2023-01-28 21:00:00,0.0,1,2,3,2.5498165281312333,1
2023-07-27 21:00:00,2023-07-27 21:00:00,0.0,2,1,3,0.37305243232628715,1
2020-09-06 20:00:00,2020-09-06 19:00:00,60.0,1,1,2,0.9487225783039602,1
2020-09-06 21:00:00,2020-09-06 19:00:00,120.0,1,1,2,2.21678717407543,1
2021-05-31 20:00:00,2021-05-31 20:00:00,0.0,1,1,2,2.569253967316464,1
2021-07-19 18:00:00,2021-07-19 18:00:00,0.0,1,1,2,1.3434842688071118,1
2021-07-22 06:00:00,2021-07-22 06:00:00,0.0,1,1,2,2.3767706272988685,1
2021-08-30 05:00:00,2021-08-30 06:00:00,60.0,1,1,2,2.376111343722981,1
2021-08-30 21:00:00,2021-08-30 22:00:00,60.0,1,1,2,2.376111343722981,1
2021-09-12 19:00:00,2021-09-12 18:00:00,60.0,1,1,2,1.1852863995198315,1
2021-09-12 19:00:00,2021-09-12 19:00:00,0.0,1,1,2,0.6729896176450435,1
2021-09-18 19:00:00,2021-09-18 18:00:00,60.0,1,1,2,0.39566962607773504,1
2021-09-18 19:00:00,2021-09-18 19:00:00,0.0,1,1,2,0.29399020650901436,1
2021-09-23 21:00:00,2021-09-23 20:00:00,60.0,1,1,2,1.4182456526307525,1
2022-03-18 15:00:00,2022-03-18 16:00:00,60.0,1,1,2,1.0750931129696801,1
2022-04-25 16:00:00,2022-04-25 17:00:00,60.0,1,1,2,2.0811790929762095,1
2022-07-15 05:00:00,2022-07-15 06:00:00,60.0,1,1,2,2.37459422518866,1
2022-09-22 15:00:00,2022-09-22 17:00:00,120.0,1,1,2,2.813070734159825,1
2022-10-19 15:00:00,2022-10-19 14:00:00,60.0,1,1,2,2.1651051109406776,1
2023-09-04 20:00:00,2023-09-04 18:00:00,120.0,1,1,2,2.2825702800654297,1
2023-09-06 18:00:00,2023-09-06 18:00:00,0.0,1,1,2,0.29829428333277075,1
2023-10-05 21:00:00,2023-10-05 20:00:00,60.0,1,1,2,1.0873877999767718,1
