분석대상,발생시각,신고수,서로다른좌표수,지역별신고수,평균강도,최대강도,악취종류별신고수,주요악취종류
익산시만,2020-01-01 21:00:00,1,1,"{""마동"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-02 06:00:00,1,1,"{""금강동"": 1}",3.0,3,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2020-01-02 20:00:00,1,1,"{""춘포면 쌍정리"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-02 21:00:00,1,1,"{""마동"": 1}",5.0,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-04 00:00:00,1,1,"{""부송동"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-04 10:00:00,1,1,"{""삼기면 연동리"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2020-01-05 07:00:00,1,1,"{""남중동"": 1}",3.0,3,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-07 17:00:00,1,1,"{""영등동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-09 21:00:00,1,1,"{""팔봉동"": 1}",3.0,3,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2020-01-10 17:00:00,1,1,"{""왕궁면 쌍제리"": 1}",4.0,4,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2020-01-13 12:00:00,2,1,"{""성당면 대선리"": 2}",3.0,3,"{""기타"": 2}",기타
익산시만,2020-01-14 01:00:00,1,1,"{""동산동"": 1}",3.0,3,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-14 02:00:00,4,4,"{""영등동"": 2, ""신동"": 2}",3.75,4,"{""공장 냄새(화학약품, 매캐함)"": 4}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-14 03:00:00,2,2,"{""부송동"": 2}",3.5,4,"{""공장 냄새(화학약품, 매캐함)"": 2}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-15 02:00:00,1,1,"{""신동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-16 18:00:00,1,1,"{""신용동"": 1}",3.0,3,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2020-01-17 16:00:00,1,1,"{""성당면 대선리"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2020-01-18 02:00:00,1,1,"{""팔봉동"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2020-01-18 17:00:00,1,1,"{""성당면 대선리"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-18 22:00:00,7,7,"{""부송동"": 5, ""성당면 대선리"": 1, ""영등동"": 1}",4.428571428571429,5,"{""공장 냄새(화학약품, 매캐함)"": 6, ""하수구 냄새"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-18 23:00:00,8,8,"{""부송동"": 6, ""어양동"": 2}",4.375,5,"{""공장 냄새(화학약품, 매캐함)"": 5, ""기타"": 1, ""가축 분뇨 냄새(닭, 돼지, 소)"": 1, ""하수구 냄새"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-19 11:00:00,1,1,"{""영등동"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-19 19:00:00,1,1,"{""성당면 대선리"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2020-01-20 09:00:00,2,2,"{""석암동"": 2}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 2}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-20 17:00:00,1,1,"{""성당면 대선리"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2020-01-21 08:00:00,1,1,"{""영등동"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-21 20:00:00,1,1,"{""부송동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-21 21:00:00,6,6,"{""부송동"": 4, ""어양동"": 2}",4.5,5,"{""공장 냄새(화학약품, 매캐함)"": 6}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-21 22:00:00,1,1,"{""영등동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-21 23:00:00,1,1,"{""부송동"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-25 17:00:00,1,1,"{""성당면 대선리"": 1}",3.0,3,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-25 18:00:00,1,1,"{""황등면 황등리"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-25 19:00:00,1,1,"{""성당면 대선리"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2020-01-28 22:00:00,1,1,"{""영등동"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2020-01-28 23:00:00,1,1,"{""영등동"": 1}",3.0,3,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-29 13:00:00,1,1,"{""춘포면 쌍정리"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-29 17:00:00,1,1,"{""성당면 대선리"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2020-01-29 18:00:00,1,1,"{""성당면 대선리"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2020-01-30 04:00:00,1,1,"{""어양동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-30 07:00:00,1,1,"{""부송동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-30 08:00:00,1,1,"{""신동"": 1}",1.0,1,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2020-01-30 09:00:00,1,1,"{""부송동"": 1}",4.0,4,"{""하수구 냄새"": 1}",하수구 냄새
익산시만,2020-01-30 14:00:00,1,1,"{""금마면 신용리"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2020-01-30 17:00:00,1,1,"{""성당면 대선리"": 1}",3.0,3,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2020-01-30 21:00:00,1,1,"{""성당면 대선리"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2020-01-31 08:00:00,1,1,"{""부송동"": 1}",1.0,1,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-01-31 12:00:00,1,1,"{""성당면 대선리"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2020-01-31 23:00:00,1,1,"{""부송동"": 1}",5.0,5,"{""기타"": 1}",기타
익산시만,2020-02-01 06:00:00,1,1,"{""부송동"": 1}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-02-01 14:00:00,1,1,"{""성당면 대선리"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2020-02-02 07:00:00,1,1,"{""부송동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-02-02 18:00:00,1,1,"{""성당면 대선리"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2020-02-02 22:00:00,3,3,"{""부송동"": 3}",3.6666666666666665,4,"{""공장 냄새(화학약품, 매캐함)"": 3}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-02-04 08:00:00,1,1,"{""부송동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-02-04 09:00:00,2,2,"{""부송동"": 2}",5.0,5,"{""공장 냄새(화학약품, 매캐함)"": 2}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-02-04 17:00:00,1,1,"{""성당면 대선리"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2020-02-05 19:00:00,1,1,"{""신용동"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2020-02-06 18:00:00,1,1,"{""성당면 대선리"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2020-02-09 20:00:00,1,1,"{""성당면 대선리"": 1}",3.0,3,"{""기타"": 1}",기타
익산시만,2020-02-09 21:00:00,1,1,"{""부송동"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2020-02-09 23:00:00,2,2,"{""부송동"": 2}",4.5,5,"{""하수구 냄새"": 2}",하수구 냄새
익산시만,2020-02-10 00:00:00,2,2,"{""어양동"": 1, ""영등동"": 1}",4.5,5,"{""공장 냄새(화학약품, 매캐함)"": 2}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-02-10 01:00:00,2,2,"{""어양동"": 1, ""부송동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 2}","공장 냄새(화학약품, 매캐함)"
익산시만,2020-02-10 07:00:00,1,1,"{""금강동"": 1}",5.0,5,"{""음식조리 냄새"": 1}",음식조리 냄새
익산시만,2020-02-10 20:00:00,1,1,"{""용제동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
