분석대상,발생시각,신고수,서로다른좌표수,지역별신고수,평균강도,최대강도,악취종류별신고수,주요악취종류,Level 1,Level 2,Level 3
익산시만,2020-08-02 21:00:00,68,64,"{""영등동"": 40, ""어양동"": 11, ""부송동"": 11, ""동산동"": 5, ""마동"": 1}",4.088235294117647,5,"{""기타"": 32, ""가축 분뇨 냄새(닭, 돼지, 소)"": 30, ""하수구 냄새"": 4, ""음식조리 냄새"": 1, ""공장 냄새(화학약품, 매캐함)"": 1}",기타,True,True,True
익산시만,2020-08-15 23:00:00,60,55,"{""모현동1가"": 12, ""동산동"": 9, ""송학동"": 7, ""어양동"": 7, ""부송동"": 7, ""영등동"": 6, ""평화동"": 5, ""신동"": 3, ""마동"": 2, ""남중동"": 2}",4.133333333333334,5,"{""기타"": 28, ""가축 분뇨 냄새(닭, 돼지, 소)"": 26, ""하수구 냄새"": 6}",기타,True,True,True
익산시만,2021-07-14 21:00:00,50,47,"{""동산동"": 20, ""어양동"": 10, ""부송동"": 5, ""영등동"": 4, ""신동"": 3, ""주현동"": 2, ""마동"": 2, ""평화동"": 1, ""신흥동"": 1, ""금강동"": 1, ""모현동1가"": 1}",4.16,5,"{""기타"": 21, ""가축 분뇨 냄새(닭, 돼지, 소)"": 21, ""하수구 냄새"": 8}",기타,True,True,True
익산시만,2020-08-13 00:00:00,43,42,"{""영등동"": 15, ""어양동"": 14, ""부송동"": 10, ""동산동"": 2, ""금강동"": 1, ""모현동1가"": 1}",4.232558139534884,5,"{""기타"": 21, ""가축 분뇨 냄새(닭, 돼지, 소)"": 17, ""하수구 냄새"": 4, ""음식조리 냄새"": 1}",기타,True,True,True
익산시만,2020-09-18 21:00:00,35,34,"{""영등동"": 10, ""어양동"": 10, ""팔봉동"": 5, ""부송동"": 5, ""신동"": 3, ""동산동"": 1, ""마동"": 1}",3.857142857142857,5,"{""기타"": 21, ""가축 분뇨 냄새(닭, 돼지, 소)"": 10, ""하수구 냄새"": 4}",기타,True,True,True
익산시만,2020-08-20 01:00:00,34,34,"{""어양동"": 17, ""영등동"": 9, ""부송동"": 7, ""팔봉동"": 1}",3.7941176470588234,5,"{""기타"": 19, ""가축 분뇨 냄새(닭, 돼지, 소)"": 11, ""하수구 냄새"": 3, ""공장 냄새(화학약품, 매캐함)"": 1}",기타,True,True,True
익산시만,2021-07-08 00:00:00,33,32,"{""영등동"": 12, ""어양동"": 11, ""부송동"": 2, ""마동"": 2, ""모현동2가"": 2, ""모현동1가"": 1, ""신흥동"": 1, ""낭산면 용기리"": 1, ""동산동"": 1}",4.212121212121212,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 16, ""기타"": 10, ""하수구 냄새"": 6, ""공장 냄새(화학약품, 매캐함)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)",True,True,True
익산시만,2021-07-07 23:00:00,31,31,"{""부송동"": 8, ""어양동"": 8, ""영등동"": 8, ""동산동"": 2, ""팔봉동"": 1, ""마동"": 1, ""모현동1가"": 1, ""신동"": 1, ""오산면 장신리"": 1}",3.967741935483871,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 13, ""기타"": 12, ""하수구 냄새"": 6}","가축 분뇨 냄새(닭, 돼지, 소)",True,True,True
익산시만,2020-10-01 21:00:00,31,29,"{""영등동"": 13, ""동산동"": 8, ""마동"": 3, ""인화동2가"": 3, ""평화동"": 2, ""함열읍 와리"": 1, ""어양동"": 1}",3.838709677419355,5,"{""기타"": 16, ""가축 분뇨 냄새(닭, 돼지, 소)"": 11, ""하수구 냄새"": 3, ""음식조리 냄새"": 1}",기타,True,True,True
익산시만,2020-08-01 21:00:00,30,30,"{""어양동"": 11, ""영등동"": 9, ""동산동"": 5, ""부송동"": 4, ""금강동"": 1}",3.9,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 16, ""기타"": 12, ""하수구 냄새"": 2}","가축 분뇨 냄새(닭, 돼지, 소)",True,True,True
익산시만,2020-08-02 20:00:00,29,27,"{""어양동"": 13, ""부송동"": 12, ""영등동"": 3, ""동산동"": 1}",4.0,5,"{""기타"": 16, ""가축 분뇨 냄새(닭, 돼지, 소)"": 9, ""하수구 냄새"": 3, ""공장 냄새(화학약품, 매캐함)"": 1}",기타,True,True,False
익산시만,2020-08-02 22:00:00,29,25,"{""어양동"": 14, ""부송동"": 7, ""영등동"": 6, ""인화동2가"": 1, ""금강동"": 1}",4.0,5,"{""기타"": 16, ""가축 분뇨 냄새(닭, 돼지, 소)"": 10, ""하수구 냄새"": 2, ""공장 냄새(화학약품, 매캐함)"": 1}",기타,True,True,False
익산시만,2024-07-17 22:00:00,28,28,"{""어양동"": 12, ""부송동"": 6, ""영등동"": 4, ""왕궁면 흥암리"": 3, ""동산동"": 3}",4.392857142857143,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 25, ""공장 냄새(화학약품, 매캐함)"": 2, ""하수구 냄새"": 1}","가축 분뇨 냄새(닭, 돼지, 소)",True,True,False
익산시만,2025-08-08 23:00:00,28,28,"{""마동"": 12, ""동산동"": 4, ""영등동"": 4, ""어양동"": 3, ""부송동"": 3, ""금강동"": 2}",4.392857142857143,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 28}","가축 분뇨 냄새(닭, 돼지, 소)",True,True,False
익산시만,2021-08-05 00:00:00,27,27,"{""어양동"": 11, ""부송동"": 9, ""영등동"": 5, ""마동"": 1, ""동산동"": 1}",4.222222222222222,5,"{""기타"": 12, ""가축 분뇨 냄새(닭, 돼지, 소)"": 8, ""하수구 냄새"": 6, ""공장 냄새(화학약품, 매캐함)"": 1}",기타,True,True,False
익산시만,2021-07-20 23:00:00,26,26,"{""부송동"": 9, ""어양동"": 5, ""영등동"": 5, ""신동"": 4, ""모현동1가"": 2, ""팔봉동"": 1}",4.5,5,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 14, ""기타"": 8, ""하수구 냄새"": 4}","가축 분뇨 냄새(닭, 돼지, 소)",True,True,False
