순위,발생시각,신고수,서로다른좌표수,지역별신고수,악취강도분포,악취종류분포,최초신고시각,마지막신고시각,평균강도,자료구분,Event순위,Event발생시각,10분구간시작,10분구간종료,서로다른위치수,평균위도,평균경도,평균악취강도
1.0,2020-08-02 21:00:00,68,64.0,"{""영등동"": 40, ""어양동"": 11, ""부송동"": 11, ""동산동"": 5, ""마동"": 1}","{""(4) 극심한취기"": 31, ""(5) 참기어려운취기"": 23, ""(3) 강한취기"": 11, ""(2) 보통취기"": 3}","{""기타"": 32, ""가축 분뇨 냄새(닭, 돼지, 소)"": 30, ""하수구 냄새"": 4, ""음식조리 냄새"": 1, ""공장 냄새(화학약품, 매캐함)"": 1}",2020-08-02 21:00:00,2020-08-02 21:59:00,4.088235294117647,Event요약,,,,,,,,
2.0,2020-08-15 23:00:00,60,55.0,"{""모현동1가"": 12, ""동산동"": 9, ""송학동"": 7, ""어양동"": 7, ""부송동"": 7, ""영등동"": 6, ""평화동"": 5, ""신동"": 3, ""마동"": 2, ""남중동"": 2}","{""(4) 극심한취기"": 26, ""(5) 참기어려운취기"": 22, ""(3) 강한취기"": 10, ""(2) 보통취기"": 2}","{""기타"": 28, ""가축 분뇨 냄새(닭, 돼지, 소)"": 26, ""하수구 냄새"": 6}",2020-08-15 23:00:00,2020-08-15 23:57:00,4.133333333333334,Event요약,,,,,,,,
3.0,2021-07-14 21:00:00,50,47.0,"{""동산동"": 20, ""어양동"": 10, ""부송동"": 5, ""영등동"": 4, ""신동"": 3, ""주현동"": 2, ""마동"": 2, ""평화동"": 1, ""신흥동"": 1, ""금강동"": 1, ""모현동1가"": 1}","{""(4) 극심한취기"": 25, ""(5) 참기어려운취기"": 17, ""(3) 강한취기"": 7, ""(2) 보통취기"": 1}","{""기타"": 21, ""가축 분뇨 냄새(닭, 돼지, 소)"": 21, ""하수구 냄새"": 8}",2021-07-14 21:01:00,2021-07-14 21:59:00,4.16,Event요약,,,,,,,,
4.0,2020-08-13 00:00:00,43,42.0,"{""영등동"": 15, ""어양동"": 14, ""부송동"": 10, ""동산동"": 2, ""금강동"": 1, ""모현동1가"": 1}","{""(5) 참기어려운취기"": 19, ""(4) 극심한취기"": 17, ""(3) 강한취기"": 5, ""(2) 보통취기"": 2}","{""기타"": 21, ""가축 분뇨 냄새(닭, 돼지, 소)"": 17, ""하수구 냄새"": 4, ""음식조리 냄새"": 1}",2020-08-13 00:00:00,2020-08-13 00:59:00,4.232558139534884,Event요약,,,,,,,,
5.0,2020-09-18 21:00:00,35,34.0,"{""영등동"": 10, ""어양동"": 10, ""팔봉동"": 5, ""부송동"": 5, ""신동"": 3, ""동산동"": 1, ""마동"": 1}","{""(4) 극심한취기"": 15, ""(3) 강한취기"": 11, ""(5) 참기어려운취기"": 8, ""(2) 보통취기"": 1}","{""기타"": 21, ""가축 분뇨 냄새(닭, 돼지, 소)"": 10, ""하수구 냄새"": 4}",2020-09-18 21:28:00,2020-09-18 21:59:00,3.857142857142857,Event요약,,,,,,,,
,,17,,,,,,,,10분상세,1.0,2020-08-02 21:00:00,2020-08-02 21:00:00,2020-08-02 21:10:00,17.0,35.959727882352944,126.9823494117647,4.235294117647059
,,14,,,,,,,,10분상세,1.0,2020-08-02 21:00:00,2020-08-02 21:10:00,2020-08-02 21:20:00,12.0,35.95872035714286,126.97655078571428,4.285714285714286
,,13,,,,,,,,10분상세,1.0,2020-08-02 21:00:00,2020-08-02 21:20:00,2020-08-02 21:30:00,12.0,35.955230307692304,126.97705523076921,3.8461538461538463
,,13,,,,,,,,10분상세,1.0,2020-08-02 21:00:00,2020-08-02 21:30:00,2020-08-02 21:40:00,13.0,35.95492561538461,126.97679576923078,4.153846153846154
,,5,,,,,,,,10분상세,1.0,2020-08-02 21:00:00,2020-08-02 21:40:00,2020-08-02 21:50:00,5.0,35.957678800000004,126.98115200000002,4.4
