cluster_id,start,end,duration_minutes,reports,unique_grids,mean_intensity,major_region,major_odor_type
20,2020-08-02 19:52:00,2020-08-02 22:48:00,176.0,116,20,4.129310344827586,영등동,기타
116,2021-07-14 19:45:00,2021-07-14 22:42:00,177.0,73,26,4.164383561643835,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
46,2020-08-12 23:25:00,2020-08-13 01:54:00,149.0,56,16,4.321428571428571,영등동,기타
113,2021-07-07 23:26:00,2021-07-08 00:45:00,79.0,53,21,4.132075471698113,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
17,2020-08-01 20:20:00,2020-08-01 23:16:00,176.0,53,15,3.69811320754717,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
132,2021-08-04 23:18:00,2021-08-05 01:29:00,131.0,52,17,4.230769230769231,부송동,기타
121,2021-07-20 21:54:00,2021-07-21 00:39:00,165.0,48,18,4.395833333333333,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
92,2020-10-01 20:48:00,2020-10-01 22:53:00,125.0,42,21,4.023809523809524,영등동,기타
156,2021-08-31 21:03:00,2021-09-01 00:00:00,177.0,41,16,4.073170731707317,영등동,기타
84,2020-09-18 21:28:00,2020-09-18 22:53:00,85.0,39,18,3.9743589743589745,부송동,기타
62,2020-08-20 00:51:00,2020-08-20 02:40:00,109.0,38,12,3.8157894736842106,어양동,기타
39,2020-08-09 19:00:00,2020-08-09 22:00:00,180.0,36,13,3.888888888888889,동산동,기타
23,2020-08-03 20:53:00,2020-08-03 23:45:00,172.0,36,12,3.5277777777777777,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
75,2020-09-03 21:02:00,2020-09-04 00:02:00,180.0,36,13,3.9722222222222223,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
45,2020-08-10 17:53:00,2020-08-10 20:29:00,156.0,33,11,3.6363636363636362,부송동,기타
51,2020-08-15 22:58:00,2020-08-16 01:00:00,122.0,33,14,4.2727272727272725,모현동1가,"가축 분뇨 냄새(닭, 돼지, 소)"
72,2020-08-31 01:46:00,2020-08-31 03:40:00,114.0,29,11,4.344827586206897,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
166,2021-09-21 21:37:00,2021-09-22 00:23:00,166.0,29,13,4.137931034482759,어양동,기타
188,2022-06-30 23:05:00,2022-07-01 01:26:00,141.0,29,12,4.551724137931035,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
273,2024-07-28 22:19:00,2024-07-29 00:56:00,157.0,29,10,4.551724137931035,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
216,2022-08-14 22:26:00,2022-08-15 00:47:00,141.0,28,13,3.8214285714285716,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
125,2021-07-25 21:18:00,2021-07-26 00:04:00,166.0,28,10,4.357142857142857,부송동,기타
117,2021-07-14 22:47:00,2021-07-15 00:50:00,123.0,27,10,4.074074074074074,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
266,2024-07-17 21:38:00,2024-07-17 23:01:00,83.0,27,12,4.481481481481482,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
38,2020-08-09 18:59:00,2020-08-09 20:18:00,79.0,25,7,3.76,어양동,기타
55,2020-08-16 23:27:00,2020-08-17 01:40:00,133.0,25,14,4.04,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
26,2020-08-04 19:27:00,2020-08-04 21:47:00,140.0,24,11,3.9166666666666665,영등동,기타
207,2022-07-25 23:57:00,2022-07-26 02:12:00,135.0,24,11,4.041666666666667,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
61,2020-08-19 05:25:00,2020-08-19 08:25:00,180.0,23,13,3.869565217391304,어양동,기타
52,2020-08-15 23:09:00,2020-08-16 00:52:00,103.0,23,14,3.869565217391304,부송동,기타
299,2025-06-06 21:34:00,2025-06-06 23:03:00,89.0,22,4,4.636363636363637,마동,"가축 분뇨 냄새(닭, 돼지, 소)"
77,2020-09-04 21:37:00,2020-09-05 00:09:00,152.0,22,8,4.0,부송동,"공장 냄새(화학약품, 매캐함)"
99,2021-06-06 18:30:00,2021-06-06 20:38:00,128.0,22,15,4.0,영등동,"공장 냄새(화학약품, 매캐함)"
35,2020-08-08 21:50:00,2020-08-08 22:59:00,69.0,22,7,3.772727272727273,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
198,2022-07-13 18:44:00,2022-07-13 21:43:00,179.0,22,9,4.363636363636363,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
204,2022-07-20 00:15:00,2022-07-20 02:58:00,163.0,21,11,4.0,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
50,2020-08-15 22:30:00,2020-08-15 23:53:00,83.0,20,7,4.15,동산동,기타
138,2021-08-12 18:52:00,2021-08-12 21:48:00,176.0,20,11,3.85,부송동,"공장 냄새(화학약품, 매캐함)"
199,2022-07-13 21:45:00,2022-07-13 22:51:00,66.0,20,7,4.4,부송동,하수구 냄새
260,2024-07-04 19:44:00,2024-07-04 22:09:00,145.0,19,1,4.368421052631579,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
206,2022-07-23 00:33:00,2022-07-23 02:47:00,134.0,19,12,4.157894736842105,어양동,기타
218,2022-08-18 23:26:00,2022-08-19 01:32:00,126.0,19,9,4.052631578947368,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
33,2020-08-06 22:01:00,2020-08-07 00:28:00,147.0,19,9,3.263157894736842,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
300,2025-08-08 23:01:00,2025-08-08 23:55:00,54.0,18,5,4.333333333333333,마동,"가축 분뇨 냄새(닭, 돼지, 소)"
209,2022-07-27 20:25:00,2022-07-27 22:56:00,151.0,18,8,4.277777777777778,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
292,2024-10-01 21:09:00,2024-10-01 22:59:00,110.0,18,2,4.722222222222222,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
27,2020-08-04 19:46:00,2020-08-04 22:32:00,166.0,18,7,4.277777777777778,동산동,기타
13,2020-07-26 21:50:00,2020-07-27 00:20:00,150.0,18,10,4.0,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
143,2021-08-15 21:15:00,2021-08-15 23:29:00,134.0,18,10,3.888888888888889,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
24,2020-08-04 01:48:00,2020-08-04 03:25:00,97.0,17,13,3.764705882352941,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
200,2022-07-14 00:06:00,2022-07-14 00:53:00,47.0,17,9,4.117647058823529,어양동,기타
192,2022-07-04 22:23:00,2022-07-04 23:20:00,57.0,17,6,4.352941176470588,부송동,하수구 냄새
93,2020-10-02 00:20:00,2020-10-02 01:32:00,72.0,17,10,4.411764705882353,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
126,2021-07-26 20:58:00,2021-07-26 23:01:00,123.0,16,9,3.875,부송동,기타
265,2024-07-17 18:43:00,2024-07-17 21:21:00,158.0,16,1,4.625,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
191,2022-07-03 22:59:00,2022-07-04 00:12:00,73.0,16,10,4.1875,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
172,2021-09-26 15:40:00,2021-09-26 16:09:00,29.0,16,2,4.9375,낭산면 용기리,기타
86,2020-09-19 21:55:00,2020-09-20 00:00:00,125.0,15,8,3.933333333333333,어양동,"공장 냄새(화학약품, 매캐함)"
173,2021-09-28 20:56:00,2021-09-28 22:00:00,64.0,15,7,4.4,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
18,2020-08-01 21:13:00,2020-08-01 22:32:00,79.0,15,7,4.466666666666667,동산동,기타
22,2020-08-02 22:58:00,2020-08-03 01:44:00,166.0,15,9,3.933333333333333,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
102,2021-06-09 19:14:00,2021-06-09 21:54:00,160.0,15,8,4.066666666666666,부송동,"공장 냄새(화학약품, 매캐함)"
162,2021-09-12 23:17:00,2021-09-13 00:51:00,94.0,15,10,4.466666666666667,영등동,기타
275,2024-08-20 21:44:00,2024-08-20 22:37:00,53.0,15,1,4.6,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
258,2024-06-27 22:28:00,2024-06-27 23:13:00,45.0,14,1,4.357142857142857,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
213,2022-08-01 21:43:00,2022-08-01 23:50:00,127.0,14,12,4.142857142857143,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
123,2021-07-23 22:18:00,2021-07-23 23:59:00,101.0,14,12,4.428571428571429,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
69,2020-08-25 00:30:00,2020-08-25 01:27:00,57.0,14,9,3.857142857142857,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
177,2021-10-05 21:45:00,2021-10-05 23:30:00,105.0,14,8,3.9285714285714284,부송동,"공장 냄새(화학약품, 매캐함)"
283,2024-09-07 22:49:00,2024-09-08 00:29:00,100.0,13,6,4.153846153846154,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
202,2022-07-16 23:54:00,2022-07-17 01:00:00,66.0,13,6,4.153846153846154,부송동,기타
79,2020-09-11 10:20:00,2020-09-11 10:42:00,22.0,13,6,3.6153846153846154,어양동,기타
186,2022-06-29 20:24:00,2022-06-29 21:51:00,87.0,13,8,4.384615384615385,영등동,기타
0,2020-01-18 22:16:00,2020-01-18 23:55:00,99.0,13,5,4.461538461538462,부송동,"공장 냄새(화학약품, 매캐함)"
6,2020-07-06 06:39:00,2020-07-06 07:59:00,80.0,13,7,4.230769230769231,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
306,2025-09-05 21:04:00,2025-09-05 21:36:00,32.0,13,9,4.230769230769231,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
301,2025-08-08 23:17:00,2025-08-09 00:08:00,51.0,13,8,4.384615384615385,영등동,"가축 분뇨 냄새(닭, 돼지, 소)"
175,2021-10-03 20:30:00,2021-10-03 21:49:00,79.0,12,7,4.25,모현동1가,기타
268,2024-07-17 22:23:00,2024-07-17 23:51:00,88.0,12,6,4.5,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
136,2021-08-08 15:51:00,2021-08-08 16:56:00,65.0,12,2,4.5,낭산면 용기리,기타
194,2022-07-06 19:52:00,2022-07-06 21:36:00,104.0,12,8,4.0,영등동,기타
64,2020-08-22 20:01:00,2020-08-22 21:28:00,87.0,12,9,4.0,부송동,"공장 냄새(화학약품, 매캐함)"
54,2020-08-16 23:00:00,2020-08-17 01:25:00,145.0,12,5,3.9166666666666665,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
34,2020-08-06 22:34:00,2020-08-06 23:23:00,49.0,11,4,4.181818181818182,동산동,기타
274,2024-08-15 20:55:00,2024-08-15 22:59:00,124.0,11,1,4.2727272727272725,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
111,2021-06-28 22:32:00,2021-06-28 23:33:00,61.0,11,7,3.6363636363636362,부송동,기타
5,2020-06-23 19:25:00,2020-06-23 22:03:00,158.0,11,5,4.454545454545454,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
159,2021-09-04 21:12:00,2021-09-04 23:27:00,135.0,11,6,3.6363636363636362,부송동,"공장 냄새(화학약품, 매캐함)"
164,2021-09-19 17:47:00,2021-09-19 18:27:00,40.0,11,2,4.909090909090909,낭산면 용기리,"가축 분뇨 냄새(닭, 돼지, 소)"
193,2022-07-05 23:48:00,2022-07-06 01:26:00,98.0,11,7,3.909090909090909,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
282,2024-09-05 01:29:00,2024-09-05 01:52:00,23.0,11,8,4.636363636363637,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
129,2021-08-01 19:17:00,2021-08-01 21:35:00,138.0,11,7,3.909090909090909,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
149,2021-08-18 21:13:00,2021-08-18 22:30:00,77.0,10,1,4.8,낭산면 용기리,기타
280,2024-09-03 20:17:00,2024-09-03 21:32:00,75.0,10,7,4.0,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
223,2022-09-02 21:18:00,2022-09-02 21:45:00,27.0,10,1,4.9,낭산면 용기리,기타
318,2025-10-12 22:55:00,2025-10-12 23:47:00,52.0,10,4,4.4,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
257,2024-06-26 20:53:00,2024-06-26 22:28:00,95.0,10,1,4.3,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
57,2020-08-17 05:13:00,2020-08-17 05:53:00,40.0,10,6,4.6,평화동,기타
312,2025-09-22 18:17:00,2025-09-22 20:05:00,108.0,10,1,4.3,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
181,2022-06-25 21:21:00,2022-06-25 22:12:00,51.0,10,8,4.0,부송동,기타
148,2021-08-17 17:11:00,2021-08-17 18:16:00,65.0,10,2,4.5,낭산면 용기리,기타
49,2020-08-14 06:16:00,2020-08-14 07:57:00,101.0,9,6,3.6666666666666665,어양동,기타
286,2024-09-12 20:46:00,2024-09-12 21:37:00,51.0,9,1,4.555555555555555,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
