datetime,latitude,longitude,region,intensity,odor_type,grid_id,st_cluster
2020-01-01 21:38:00,35.94341,126.96781,마동,4,"가축 분뇨 냄새(닭, 돼지, 소)",-3:-3,-1
2020-01-02 06:40:00,35.928307,126.975845,금강동,3,하수구 냄새,-2:-7,-1
2020-01-02 20:06:00,35.921864,127.055885,춘포면 쌍정리,4,"가축 분뇨 냄새(닭, 돼지, 소)",12:-8,-1
2020-01-02 21:23:00,35.934723,126.969925,마동,5,"가축 분뇨 냄새(닭, 돼지, 소)",-3:-5,-1
2020-01-04 00:50:00,35.963345,126.98543,부송동,4,"가축 분뇨 냄새(닭, 돼지, 소)",0:1,-1
2020-01-04 10:05:00,36.040928,127.0067,삼기면 연동리,4,기타,4:18,-1
2020-01-05 07:15:00,35.955265,126.95433,남중동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-6:-1,-1
2020-01-07 17:50:00,35.94871,126.96888,영등동,4,"공장 냄새(화학약품, 매캐함)",-3:-2,-1
2020-01-09 21:51:00,35.96319,127.009155,팔봉동,3,하수구 냄새,4:1,-1
2020-01-10 17:26:00,35.933598,127.0547,왕궁면 쌍제리,4,하수구 냄새,12:-6,-1
2020-01-13 12:32:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-01-13 12:36:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-01-14 01:12:00,35.932964,126.96345,동산동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-4:-6,-1
2020-01-14 02:10:00,35.96104,126.97517,영등동,3,"공장 냄새(화학약품, 매캐함)",-2:0,-1
2020-01-14 02:26:00,35.961517,126.97962,영등동,4,"공장 냄새(화학약품, 매캐함)",-1:1,-1
2020-01-14 02:28:00,35.962215,126.957695,신동,4,"공장 냄새(화학약품, 매캐함)",-5:1,-1
2020-01-14 02:32:00,35.96219,126.957664,신동,4,"공장 냄새(화학약품, 매캐함)",-5:1,-1
2020-01-14 03:00:00,35.959248,126.989456,부송동,3,"공장 냄새(화학약품, 매캐함)",0:0,-1
2020-01-14 03:11:00,35.959194,126.989395,부송동,4,"공장 냄새(화학약품, 매캐함)",0:0,-1
2020-01-15 02:24:00,35.962143,126.957695,신동,4,"공장 냄새(화학약품, 매캐함)",-5:1,-1
2020-01-16 18:30:00,35.976543,126.95175,신용동,3,하수구 냄새,-6:4,-1
2020-01-17 16:57:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-01-18 02:49:00,35.965332,127.01459,팔봉동,4,기타,5:1,-1
2020-01-18 17:32:00,36.062286,126.9334,성당면 대선리,4,"가축 분뇨 냄새(닭, 돼지, 소)",-10:23,-1
2020-01-18 22:00:00,36.062286,126.9334,성당면 대선리,4,하수구 냄새,-10:23,-1
2020-01-18 22:16:00,35.961475,126.99428,부송동,4,"공장 냄새(화학약품, 매캐함)",1:1,0
2020-01-18 22:17:00,35.96097,126.994194,부송동,5,"공장 냄새(화학약품, 매캐함)",1:0,0
2020-01-18 22:33:00,35.961185,126.993706,부송동,5,"공장 냄새(화학약품, 매캐함)",1:1,0
2020-01-18 22:46:00,35.962555,126.99193,부송동,5,"공장 냄새(화학약품, 매캐함)",1:1,0
2020-01-18 22:48:00,35.961113,126.97827,영등동,4,"공장 냄새(화학약품, 매캐함)",-2:1,-1
2020-01-18 22:50:00,35.961494,126.99388,부송동,4,"공장 냄새(화학약품, 매캐함)",1:1,0
2020-01-18 23:17:00,35.95322,126.984436,어양동,4,기타,0:-1,0
2020-01-18 23:42:00,35.956284,126.98811,부송동,3,"공장 냄새(화학약품, 매캐함)",0:-1,0
2020-01-18 23:51:00,35.954464,126.98402,어양동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-1:-1,0
2020-01-18 23:52:00,35.95789,126.99787,부송동,5,"공장 냄새(화학약품, 매캐함)",2:0,0
2020-01-18 23:53:00,35.95762,126.99821,부송동,5,"공장 냄새(화학약품, 매캐함)",2:0,0
2020-01-18 23:54:00,35.958088,126.99778,부송동,5,"공장 냄새(화학약품, 매캐함)",2:0,0
2020-01-18 23:55:00,35.95778,126.99816,부송동,5,하수구 냄새,2:0,0
2020-01-18 23:55:00,35.95758,126.99865,부송동,5,"공장 냄새(화학약품, 매캐함)",2:0,0
2020-01-19 11:09:00,35.963924,126.97399,영등동,4,"가축 분뇨 냄새(닭, 돼지, 소)",-2:1,-1
2020-01-19 19:56:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-01-20 09:43:00,35.949604,127.00889,석암동,4,"가축 분뇨 냄새(닭, 돼지, 소)",4:-2,-1
2020-01-20 09:45:00,35.9496,127.008835,석암동,4,"가축 분뇨 냄새(닭, 돼지, 소)",4:-2,-1
2020-01-20 17:29:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-01-21 08:03:00,35.963238,126.973724,영등동,5,"공장 냄새(화학약품, 매캐함)",-2:1,-1
2020-01-21 20:43:00,35.961475,126.993835,부송동,4,"공장 냄새(화학약품, 매캐함)",1:1,1
2020-01-21 21:02:00,35.963062,126.99175,부송동,5,"공장 냄새(화학약품, 매캐함)",1:1,1
2020-01-21 21:03:00,35.96137,126.99432,부송동,5,"공장 냄새(화학약품, 매캐함)",1:1,1
2020-01-21 21:04:00,35.961044,126.99388,부송동,4,"공장 냄새(화학약품, 매캐함)",1:0,1
2020-01-21 21:06:00,35.961437,126.994125,부송동,5,"공장 냄새(화학약품, 매캐함)",1:1,1
2020-01-21 21:17:00,35.959312,126.98475,어양동,5,"공장 냄새(화학약품, 매캐함)",0:0,1
2020-01-21 21:51:00,35.96436,126.98359,어양동,3,"공장 냄새(화학약품, 매캐함)",-1:1,1
2020-01-21 22:11:00,35.961113,126.978806,영등동,4,"공장 냄새(화학약품, 매캐함)",-1:1,1
2020-01-21 23:39:00,35.96115,126.994415,부송동,5,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-01-25 17:30:00,36.06254,126.933716,성당면 대선리,3,"가축 분뇨 냄새(닭, 돼지, 소)",-10:23,-1
2020-01-25 18:55:00,36.001984,126.94459,황등면 황등리,4,"가축 분뇨 냄새(닭, 돼지, 소)",-8:10,-1
2020-01-25 19:07:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-01-28 22:06:00,35.962185,126.97188,영등동,3,기타,-3:1,-1
2020-01-28 23:06:00,35.962143,126.97198,영등동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-3:1,-1
2020-01-29 13:36:00,35.927998,127.053215,춘포면 쌍정리,5,"공장 냄새(화학약품, 매캐함)",12:-7,-1
2020-01-29 17:21:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-01-29 18:10:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-01-30 04:03:00,35.954624,126.987144,어양동,4,"공장 냄새(화학약품, 매캐함)",0:-1,-1
2020-01-30 07:55:00,35.961185,126.99415,부송동,4,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-01-30 08:19:00,35.963375,126.949844,신동,1,하수구 냄새,-7:1,-1
2020-01-30 09:53:00,35.961296,126.99437,부송동,4,하수구 냄새,1:1,-1
2020-01-30 14:48:00,36.009834,127.05253,금마면 신용리,4,기타,12:11,-1
2020-01-30 17:31:00,36.062286,126.9334,성당면 대선리,3,"가축 분뇨 냄새(닭, 돼지, 소)",-10:23,-1
