event_hour,hour,grid_x,grid_y,risk_score,rank,train_end
2025-08-08 23:00:00,2025-08-08 22:00:00,9,1,0.18728577,1,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,0,0.1713167,2,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,-3,0.16833617,3,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,0,0.13249786,4,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,3,-1,0.076710515,5,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,-1,0.06423714,6,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,-3,0.058359977,7,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,-2,0.054301187,8,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-12,-5,0.052068394,9,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,-1,0.043390017,10,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,1,0,0.038677726,11,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-11,-5,0.03774272,12,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,3,-2,0.028655186,13,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,-3,0.01924008,14,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-1,-1,0.016745197,15,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-5,-2,0.0150246695,16,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,2,0,0.013820064,17,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,-4,0.013231311,18,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,-2,0.011173427,19,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,0,0.010572858,20,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,-4,0.010237077,21,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-2,-1,0.008812184,22,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,-3,0.008286991,23,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-10,-3,0.007997251,24,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,-2,0.006483493,25,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-4,4,0.006378336,26,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,-2,0.005995989,27,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,7,-4,0.0031504773,28,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,6,-3,0.0028967157,29,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,1,0.0028403427,30,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,8,0.0026801128,31,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,17,0.0025476161,32,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,0,12,0.002056625,33,2025-01-01
2025-08-08 23:00:00,2025-08-08 22:00:00,-3,13,0.0016307668,34,2025-01-01
