spread_top1_hit,spread_top2_hit,spread_top3_hit,fused_top1_hit,fused_choice_spread_rank,onset_rank_true_min,onset_rank_false_min,candidates,onset_covered,event_id,event_hour,train_end
1,1,1,1,1,1.0,,27,26,EVT-0128,2021-08-05 00:00:00,2021-01-01
1,1,1,1,2,5.0,9.0,23,22,EVT-0130,2021-08-05 23:00:00,2021-01-01
1,1,1,1,3,1.0,3.0,28,26,EVT-0131,2021-08-12 21:00:00,2021-01-01
1,1,1,1,3,1.0,,36,32,EVT-0132,2021-08-14 22:00:00,2021-01-01
0,0,0,0,1,,2.0,49,39,EVT-0134,2021-08-19 21:00:00,2021-01-01
0,0,1,1,3,4.0,8.0,35,31,EVT-0135,2021-08-20 20:00:00,2021-01-01
0,1,1,1,2,3.0,5.0,31,30,EVT-0136,2021-08-31 21:00:00,2021-01-01
1,1,1,1,3,1.0,,32,31,EVT-0137,2021-08-31 22:00:00,2021-01-01
1,1,1,0,3,4.0,1.0,33,32,EVT-0138,2021-08-31 23:00:00,2021-01-01
1,1,1,0,2,3.0,2.0,21,20,EVT-0139,2021-09-13 00:00:00,2021-01-01
1,1,1,1,1,4.0,5.0,21,20,EVT-0140,2021-09-21 22:00:00,2021-01-01
1,1,1,1,1,2.0,,24,23,EVT-0141,2021-09-28 21:00:00,2021-01-01
0,1,1,0,1,15.0,3.0,51,40,EVT-0143,2021-10-03 21:00:00,2021-01-01
0,0,1,0,1,5.0,1.0,21,20,EVT-0144,2021-10-05 22:00:00,2021-01-01
0,1,1,0,3,5.0,3.0,35,30,EVT-0146,2022-06-26 23:00:00,2022-01-01
1,1,1,0,2,3.0,1.0,23,23,EVT-0147,2022-06-29 21:00:00,2022-01-01
1,1,1,1,1,1.0,10.0,38,34,EVT-0148,2022-06-30 23:00:00,2022-01-01
0,0,1,0,1,3.0,1.0,21,20,EVT-0149,2022-07-01 00:00:00,2022-01-01
1,1,1,1,1,1.0,2.0,35,31,EVT-0150,2022-07-03 23:00:00,2022-01-01
0,0,0,0,3,,1.0,21,20,EVT-0151,2022-07-04 23:00:00,2022-01-01
1,1,1,1,1,1.0,,18,17,EVT-0152,2022-07-13 21:00:00,2022-01-01
0,0,0,0,1,,1.0,24,23,EVT-0153,2022-07-13 22:00:00,2022-01-01
1,1,1,0,3,4.0,1.0,27,25,EVT-0154,2022-07-14 00:00:00,2022-01-01
1,1,1,1,1,1.0,2.0,36,28,EVT-0155,2022-07-17 00:00:00,2022-01-01
1,1,1,1,1,1.0,3.0,31,25,EVT-0156,2022-07-17 23:00:00,2022-01-01
0,1,1,1,2,1.0,4.0,31,26,EVT-0157,2022-07-20 00:00:00,2022-01-01
1,1,1,1,3,1.0,3.0,37,36,EVT-0158,2022-07-23 01:00:00,2022-01-01
1,1,1,1,2,1.0,2.0,34,33,EVT-0159,2022-07-26 00:00:00,2022-01-01
0,1,1,0,1,2.0,1.0,24,23,EVT-0160,2022-07-26 01:00:00,2022-01-01
0,0,0,0,1,,6.0,23,19,EVT-0161,2022-08-01 21:00:00,2022-01-01
0,1,1,1,2,2.0,3.0,34,28,EVT-0162,2022-08-14 23:00:00,2022-01-01
0,0,0,0,1,,1.0,54,43,EVT-0165,2022-09-06 23:00:00,2022-01-01
1,1,1,0,2,11.0,2.0,22,22,EVT-0166,2023-07-05 22:00:00,2023-01-01
1,1,1,1,2,2.0,13.0,26,21,EVT-0167,2023-09-20 00:00:00,2023-01-01
1,1,1,1,1,2.0,,48,42,EVT-0169,2024-07-17 22:00:00,2024-01-01
1,1,1,1,2,7.0,13.0,34,32,EVT-0170,2024-07-17 23:00:00,2024-01-01
1,1,1,1,3,4.0,,23,20,EVT-0171,2024-07-28 22:00:00,2024-01-01
1,1,1,1,1,3.0,5.0,21,20,EVT-0172,2024-07-28 23:00:00,2024-01-01
0,0,1,0,1,5.0,2.0,32,31,EVT-0173,2024-09-02 02:00:00,2024-01-01
0,1,1,0,1,3.0,2.0,34,33,EVT-0174,2024-09-03 20:00:00,2024-01-01
1,1,1,1,3,3.0,,39,33,EVT-0175,2024-09-05 01:00:00,2024-01-01
0,0,0,0,2,,2.0,37,31,EVT-0177,2024-09-09 01:00:00,2024-01-01
0,0,1,0,1,3.0,2.0,37,31,EVT-0178,2024-09-14 00:00:00,2024-01-01
1,1,1,1,2,2.0,10.0,34,31,EVT-0179,2025-08-08 23:00:00,2025-01-01
0,0,0,0,1,,1.0,38,32,EVT-0180,2025-08-28 22:00:00,2025-01-01
0,1,1,0,1,5.0,4.0,24,23,EVT-0181,2025-09-05 21:00:00,2025-01-01
0,1,1,1,2,1.0,5.0,36,31,EVT-0182,2025-09-15 00:00:00,2025-01-01
