candidates,kept,filled,escaped_outside,base_hit1,base_hit2,base_hit3,narrow_hit1,narrow_hit2,narrow_hit3,truth_min_onset_rank,event_id,event_hour
27,14,0,0,1,1,1,1,1,1,1.0,EVT-0128,2021-08-05 00:00:00
23,14,0,0,1,1,1,1,1,1,5.0,EVT-0130,2021-08-05 23:00:00
28,16,0,0,1,1,1,1,1,1,1.0,EVT-0131,2021-08-12 21:00:00
36,21,0,0,1,1,1,1,1,1,1.0,EVT-0132,2021-08-14 22:00:00
49,20,0,0,0,0,0,0,0,0,4.0,EVT-0134,2021-08-19 21:00:00
35,18,0,0,0,0,1,0,0,1,4.0,EVT-0135,2021-08-20 20:00:00
31,18,0,0,0,1,1,0,1,1,3.0,EVT-0136,2021-08-31 21:00:00
32,18,0,0,1,1,1,1,1,1,1.0,EVT-0137,2021-08-31 22:00:00
33,19,0,0,1,1,1,1,1,1,4.0,EVT-0138,2021-08-31 23:00:00
21,13,0,0,1,1,1,1,1,1,3.0,EVT-0139,2021-09-13 00:00:00
21,12,0,0,1,1,1,1,1,1,4.0,EVT-0140,2021-09-21 22:00:00
24,12,0,0,1,1,1,1,1,1,2.0,EVT-0141,2021-09-28 21:00:00
51,18,0,0,0,1,1,0,1,1,4.0,EVT-0143,2021-10-03 21:00:00
21,12,0,0,0,0,1,0,0,1,5.0,EVT-0144,2021-10-05 22:00:00
35,20,0,0,0,1,1,0,1,1,5.0,EVT-0146,2022-06-26 23:00:00
23,13,0,0,1,1,1,1,1,1,2.0,EVT-0147,2022-06-29 21:00:00
38,18,0,0,1,1,1,1,1,1,1.0,EVT-0148,2022-06-30 23:00:00
21,10,0,0,0,0,1,0,0,1,3.0,EVT-0149,2022-07-01 00:00:00
35,19,0,0,1,1,1,1,1,1,1.0,EVT-0150,2022-07-03 23:00:00
21,11,0,0,0,0,0,0,0,0,15.0,EVT-0151,2022-07-04 23:00:00
18,11,0,0,1,1,1,1,1,1,1.0,EVT-0152,2022-07-13 21:00:00
24,12,0,0,0,0,0,0,0,0,6.0,EVT-0153,2022-07-13 22:00:00
27,15,0,0,1,1,1,1,1,1,4.0,EVT-0154,2022-07-14 00:00:00
36,13,0,0,1,1,1,1,1,1,1.0,EVT-0155,2022-07-17 00:00:00
31,14,0,0,1,1,1,1,1,1,1.0,EVT-0156,2022-07-17 23:00:00
31,11,0,0,0,1,1,0,1,1,1.0,EVT-0157,2022-07-20 00:00:00
37,22,0,0,1,1,1,1,1,1,1.0,EVT-0158,2022-07-23 01:00:00
34,18,0,0,1,1,1,1,1,1,1.0,EVT-0159,2022-07-26 00:00:00
24,14,0,0,0,1,1,0,1,1,2.0,EVT-0160,2022-07-26 01:00:00
23,10,0,0,0,0,0,0,0,0,9.0,EVT-0161,2022-08-01 21:00:00
34,15,0,0,0,1,1,0,1,1,1.0,EVT-0162,2022-08-14 23:00:00
54,21,0,0,0,0,0,0,0,0,14.0,EVT-0165,2022-09-06 23:00:00
22,9,0,0,1,1,1,1,1,1,11.0,EVT-0166,2023-07-05 22:00:00
26,9,0,0,1,1,1,1,1,1,2.0,EVT-0167,2023-09-20 00:00:00
48,17,0,0,1,1,1,1,1,1,2.0,EVT-0169,2024-07-17 22:00:00
34,17,0,0,1,1,1,1,1,1,7.0,EVT-0170,2024-07-17 23:00:00
23,9,0,0,1,1,1,1,1,1,4.0,EVT-0171,2024-07-28 22:00:00
21,10,0,0,1,1,1,1,1,1,3.0,EVT-0172,2024-07-28 23:00:00
32,16,0,0,0,0,1,0,0,1,5.0,EVT-0173,2024-09-02 02:00:00
34,16,0,0,0,1,1,0,1,1,3.0,EVT-0174,2024-09-03 20:00:00
39,17,0,0,1,1,1,1,1,1,3.0,EVT-0175,2024-09-05 01:00:00
37,16,0,0,0,0,0,0,0,0,17.0,EVT-0177,2024-09-09 01:00:00
37,16,0,0,0,0,1,0,0,1,3.0,EVT-0178,2024-09-14 00:00:00
34,18,0,0,1,1,1,1,1,1,2.0,EVT-0179,2025-08-08 23:00:00
38,16,0,0,0,0,0,0,0,0,17.0,EVT-0180,2025-08-28 22:00:00
24,12,0,0,0,1,1,0,1,1,5.0,EVT-0181,2025-09-05 21:00:00
36,18,0,0,0,1,1,0,1,1,1.0,EVT-0182,2025-09-15 00:00:00
