event_id,station_id,관측소,관측시각,풍향_원자료,풍속_원자료,기온_원자료,습도_원자료,강수_원자료,풍향,풍속,기온,습도,강수
EV2-0001,702,익산,2019-07-13 00:09:00,0.0,0.1,20.8,99.9,0.0,0.0,0.1,20.8,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:10:00,147.3,0.4,20.8,99.9,0.0,147.3,0.4,20.8,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:11:00,142.6,0.5,20.7,99.9,0.0,142.6,0.5,20.7,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:12:00,0.0,0.1,20.6,99.9,0.0,0.0,0.1,20.6,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:13:00,0.0,0.0,20.6,99.9,0.0,0.0,0.0,20.6,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:14:00,0.0,0.0,20.5,99.9,0.0,0.0,0.0,20.5,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:15:00,0.0,0.0,20.5,99.9,0.0,0.0,0.0,20.5,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:16:00,0.0,0.0,20.5,99.9,0.0,0.0,0.0,20.5,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:17:00,0.0,0.0,20.5,99.9,0.0,0.0,0.0,20.5,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:18:00,0.0,0.0,20.5,99.9,0.0,0.0,0.0,20.5,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:19:00,0.0,0.0,20.4,99.9,0.0,0.0,0.0,20.4,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:20:00,0.0,0.0,20.4,99.9,0.0,0.0,0.0,20.4,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:21:00,0.0,0.0,20.5,99.9,0.0,0.0,0.0,20.5,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:22:00,0.0,0.0,20.5,99.9,0.0,0.0,0.0,20.5,99.9,0.0
EV2-0001,702,익산,2019-07-13 00:23:00,-99.9,-99.9,-99.9,-99.9,-99.9,,,,,
EV2-0001,702,익산,2019-07-13 00:24:00,-99.9,-99.9,-99.9,-99.9,-99.9,,,,,
EV2-0001,702,익산,2019-07-13 00:25:00,-99.9,-99.9,-99.9,-99.9,-99.9,,,,,
EV2-0001,702,익산,2019-07-13 00:26:00,-99.9,-99.9,-99.9,-99.9,-99.9,,,,,
EV2-0001,702,익산,2019-07-13 00:27:00,-99.9,-99.9,-99.9,-99.9,-99.9,,,,,
EV2-0001,702,익산,2019-07-13 00:28:00,-99.9,-99.9,-99.9,-99.9,-99.9,,,,,
EV2-0001,702,익산,2019-07-13 00:29:00,-99.9,-99.9,-99.9,-99.9,-99.9,,,,,
EV2-0001,702,익산,2019-07-13 00:30:00,-99.9,-99.9,-99.9,-99.9,-99.9,,,,,
EV2-0001,702,익산,2019-07-13 00:31:00,-99.9,-99.9,-99.9,-99.9,-99.9,,,,,
EV2-0001,702,익산,2019-07-13 00:32:00,-99.9,-99.9,-99.9,-99.9,-99.9,,,,,
EV2-0001,702,익산,2019-07-13 00:33:00,-99.9,-99.9,-99.9,-99.9,-99.9,,,,,
