순번,업체명,소재지(원문),정제주소,lat,lon,geocode_method,n_parcels,사육업종,사육두수,시설면적,영업상태,신고일자
1,대규농장,전북특별자치도 익산시 왕궁면 흥암리 1075번지 18호,전북특별자치도 익산시 왕궁면 흥암리 1075-18,35.9542817631537,127.087872498876,지번정확,1,돼지,441,500,정상,2004-05-25
2,희망농장,전북특별자치도 익산시 왕궁면 구덕리 90번지 73호,전북특별자치도 익산시 왕궁면 구덕리 90-73,35.9343457986461,127.088301679552,지번정확,1,돼지,950,960.6,정상,2004-08-24
3,수덕농장,전북특별자치도 익산시 용동면 화배리 234번지,전북특별자치도 익산시 용동면 화배리 234,36.0935828401091,127.00793152859,지번정확,1,한우,105,2374.6,정상,2004-10-20
4,상원농장,전북특별자치도 익산시 함라면 금성리 819번지,전북특별자치도 익산시 함라면 금성리 819,36.0689689376282,126.926649597273,지번정확,1,한우,39,1000,정상,2004-11-01
5,용산농장,"전북특별자치도 익산시 함라면 신대리 502번지 6호 , -20 ",전북특별자치도 익산시 함라면 신대리 502-6,36.0434768010745,126.898693642456,지번정확,1,한우,12,514.6,정상,2004-11-15
6,다은농장,전북특별자치도 익산시 함라면 신대리 197번지 16호  ,전북특별자치도 익산시 함라면 신대리 197-16,36.0365954052295,126.908345601016,지번정확,1,한우,175,1708.2,정상,2004-11-15
7,중원농장,"전북특별자치도 익산시 함라면 신대리 236번지 15호 , -59, 850-1 ",전북특별자치도 익산시 함라면 신대리 236-15,36.0419942455395,126.90146064729,첫필지,2,한우,120,1427.91,정상,2004-11-16
8,번영농장,전북특별자치도 익산시 함라면 신대리 2번지 4호  ,전북특별자치도 익산시 함라면 신대리 2-4,36.0540464772043,126.918437227441,지번정확,1,육계,20000,1320.64,정상,2004-11-16
9,샤르망승마장,전북특별자치도 익산시 함라면 신등리 산 145번지 19호  ,전북특별자치도 익산시 함라면 신등리 산 145-19,36.0315270513146,126.894705077287,지번정확,1,한우,20,344,정상,2004-11-16
10,수양1 농장,전북특별자치도 익산시 함라면 함열리 794번지 3호  ,전북특별자치도 익산시 함라면 함열리 794-3,36.0520869309685,126.92504658568,지번정확,1,한우,150,3841.1,정상,2004-11-16
11,수양2 농장,전북특별자치도 익산시 함라면 함열리 751번지  ,전북특별자치도 익산시 함라면 함열리 751,36.0590973796005,126.906219541005,지번정확,1,한우,80,862.56,정상,2004-11-16
12,두리농장,"전북특별자치도 익산시 낭산면 용기리 447번지 1호 ,448, 452, -1, 453-1, -2, 454-3, 456-1, 457-1, 463-1, 1833-1 ",전북특별자치도 익산시 낭산면 용기리 447-1,36.0689546880583,126.987580969403,첫필지,9,돼지,2300,2411.9,정상,2004-11-24
13,신등목장,전북특별자치도 익산시 함라면 신목리 산 6번지 1호  ,전북특별자치도 익산시 함라면 신목리 산 6-1,36.0248547529824,126.900126477754,지번정확,1,한우,90,1053.9,정상,2004-12-20
