mode,k,Event 수,예측창에 민원 있음 비율,후보 안 정답 있음 비율,정답 전부 후보 밖 Event,0-양성 Event,"발동 앞당김(분, 중앙값)",후보격자/Event,양성격자/Event,고유위치/신고(중앙값),2019-21,2022,2023+,사용 폴드,표본 작은 폴드(<15),폴드 테스트 Event 합,규칙(테스트 합>=100),기존 정시 겹침,규칙이 고른 k
trigger,4,645,0.8372093023255814,0.7968992248062016,26,131,8.0,28.765891472868216,2.15968992248062,1.0,418,93,134,10,5,367,True,173/173,False
trigger,5,425,0.8823529411764706,0.8494117647058823,14,64,7.0,31.15058823529412,2.724705882352941,1.0,286,57,82,10,5,232,True,173/173,False
trigger,6,306,0.8888888888888888,0.869281045751634,6,40,6.0,33.06209150326797,3.19281045751634,1.0,221,40,45,9,6,156,True,172/173,False
trigger,7,222,0.918918918918919,0.9054054054054054,3,21,6.0,34.57657657657658,3.720720720720721,1.0,168,23,31,7,4,102,True,167/173,True
trigger,8,173,0.9710982658959537,0.9653179190751445,1,6,5.0,35.60693641618497,4.265895953757226,1.0,130,20,23,7,5,78,False,161/173,False
trigger,10,124,0.9758064516129032,0.9758064516129032,0,3,3.0,38.62096774193548,4.693548387096774,1.0,98,13,13,6,5,52,False,136/173,False
trigger,12,88,0.9772727272727273,0.9772727272727273,0,2,2.5,40.23863636363637,5.0,0.9772727272727273,72,8,8,6,5,34,False,101/173,False
session,2,1258,0.43243243243243246,0.3441971383147854,111,825,,22.674085850556438,0.6454689984101749,1.0,656,155,447,10,0,850,True,74/173,False
session,3,485,0.5731958762886598,0.5092783505154639,31,238,,26.95876288659794,1.1608247422680413,1.0,271,64,150,10,5,315,True,68/173,False
session,4,228,0.706140350877193,0.6578947368421053,11,78,,29.50877192982456,1.706140350877193,1.0,137,33,58,10,7,142,True,55/173,True
session,5,118,0.7457627118644068,0.6864406779661016,7,37,,31.491525423728813,2.0762711864406778,1.0,75,15,28,9,7,70,False,45/173,False
session,6,75,0.7866666666666666,0.7066666666666667,6,22,,32.46666666666667,2.3066666666666666,1.0,51,9,15,6,6,24,False,40/173,False
session,8,32,0.875,0.875,0,4,,36.84375,3.125,1.0,20,5,7,0,0,0,False,28/173,False
session,10,19,0.9473684210526315,0.9473684210526315,0,1,,41.73684210526316,3.9473684210526314,0.9411764705882353,13,3,3,0,0,0,False,22/173,False
trigger_fixed,4,640,0.753125,0.6953125,37,195,,31.10625,1.91875,1.0,413,94,133,10,5,361,True,173/173,False
trigger_fixed,5,418,0.80622009569378,0.7583732057416268,20,101,,33.433014354066984,2.382775119617225,1.0,283,55,80,10,5,227,True,173/173,False
trigger_fixed,6,303,0.8514851485148515,0.8118811881188119,12,57,,35.68976897689769,2.877887788778878,1.0,221,38,44,9,6,150,True,173/173,True
trigger_fixed,8,177,0.9152542372881356,0.9096045197740112,1,16,,38.3728813559322,3.8022598870056497,1.0,134,20,23,7,5,79,False,162/173,False
trigger_fixed,10,124,0.9435483870967742,0.9435483870967742,0,7,,40.66935483870968,4.306451612903226,0.930952380952381,98,13,13,6,5,52,False,137/173,False
