gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0_override,t0,event_id,has_positive,has_future,outside_only
25.0,8,8,4,9,True,33,7,7,0,0,6,7,7,7,26050080,2019-07-13 08:00:00,EV2-0001,True,True,False
2.0,11,8,5,17,True,47,8,8,0,0,6,8,8,8,26064420,2019-07-23 07:00:00,EV2-0002,True,True,False
7.0,15,12,10,38,True,50,12,12,0,0,12,12,12,12,26065380,2019-07-23 23:00:00,EV2-0003,True,True,False
1.0,11,11,8,4,True,52,4,4,0,0,3,4,4,4,26065440,2019-07-24 00:00:00,EV2-0004,True,True,False
23.0,8,8,8,7,True,57,6,6,0,0,6,6,6,6,26065920,2019-07-24 08:00:00,EV2-0005,True,True,False
6.0,7,7,6,6,True,38,4,4,0,0,3,4,4,4,26068800,2019-07-26 08:00:00,EV2-0006,True,True,False
103.0,3,3,3,14,True,31,3,4,1,1,3,3,3,4,26072580,2019-07-28 23:00:00,EV2-0007,True,True,False
1.0,15,14,9,16,True,42,9,11,2,4,6,9,11,11,26072640,2019-07-29 00:00:00,EV2-0008,True,True,False
60.0,12,12,5,8,True,41,5,5,0,0,5,5,5,5,26073900,2019-07-29 21:00:00,EV2-0009,True,True,False
4.0,4,4,3,6,True,21,2,4,2,3,1,2,3,3,26074080,2019-07-30 00:00:00,EV2-0010,True,True,False
4.0,9,9,5,9,True,27,4,5,1,2,2,4,5,5,26074140,2019-07-30 01:00:00,EV2-0011,True,True,False
2.0,4,4,3,7,True,28,3,4,1,1,1,3,4,4,26074200,2019-07-30 02:00:00,EV2-0012,True,True,False
11.0,7,6,3,15,True,21,8,8,0,0,6,8,8,8,26075340,2019-07-30 21:00:00,EV2-0013,True,True,False
11.0,11,11,7,20,True,51,9,10,1,1,8,9,10,10,26077320,2019-08-01 06:00:00,EV2-0014,True,True,False
8.0,12,12,8,6,True,52,6,6,0,0,5,6,6,6,26078760,2019-08-02 06:00:00,EV2-0015,True,True,False
8.0,8,8,6,17,True,40,4,5,1,2,4,4,4,4,26081100,2019-08-03 21:00:00,EV2-0016,True,True,False
4.0,26,25,6,23,True,30,6,7,1,1,6,6,6,7,26081160,2019-08-03 22:00:00,EV2-0017,True,True,False
2.0,15,13,8,14,True,45,6,6,0,0,6,6,6,6,26081220,2019-08-03 23:00:00,EV2-0018,True,True,False
3.0,10,9,7,19,True,35,5,5,0,0,5,5,5,5,26081280,2019-08-04 00:00:00,EV2-0019,True,True,False
2.0,8,7,6,4,True,35,4,4,0,0,4,4,4,4,26081340,2019-08-04 01:00:00,EV2-0020,True,True,False
39.0,5,5,4,8,True,28,5,5,0,0,4,5,5,5,26085840,2019-08-07 04:00:00,EV2-0021,True,True,False
2.0,7,7,7,4,True,41,2,4,2,2,2,2,4,4,26085900,2019-08-07 05:00:00,EV2-0022,True,True,False
2.0,8,8,5,7,True,27,5,6,1,1,3,5,5,5,26088060,2019-08-08 17:00:00,EV2-0023,True,True,False
4.0,6,6,5,4,True,41,2,2,0,0,2,2,2,2,26088120,2019-08-08 18:00:00,EV2-0024,True,True,False
72.0,4,4,3,6,True,29,3,4,1,1,2,3,4,4,26088360,2019-08-08 22:00:00,EV2-0025,True,True,False
6.0,9,9,7,12,True,46,4,4,0,0,4,4,4,4,26088420,2019-08-08 23:00:00,EV2-0026,True,True,False
1.0,10,10,4,11,True,31,6,7,1,1,3,6,7,7,26090280,2019-08-10 06:00:00,EV2-0027,True,True,False
13.0,11,8,4,5,True,24,3,4,1,1,3,3,4,4,26091240,2019-08-10 22:00:00,EV2-0028,True,True,False
32.0,2,2,2,8,True,18,1,3,2,7,0,1,3,3,26094240,2019-08-13 00:00:00,EV2-0029,True,True,False
1.0,4,4,3,7,True,28,3,3,0,0,3,3,3,3,26102880,2019-08-19 00:00:00,EV2-0030,True,True,False
3.0,4,4,4,6,True,38,4,4,0,0,2,4,4,4,26109060,2019-08-23 07:00:00,EV2-0031,True,True,False
4.0,13,13,5,4,True,33,3,3,0,0,3,3,3,3,26111460,2019-08-24 23:00:00,EV2-0032,True,True,False
1.0,6,6,6,10,True,37,7,8,1,1,5,7,8,8,26113020,2019-08-26 01:00:00,EV2-0033,True,True,False
1.0,45,34,13,12,True,53,8,8,0,0,8,8,8,8,26117220,2019-08-28 23:00:00,EV2-0034,True,True,False
7.0,13,13,9,1,True,46,1,1,0,0,1,1,1,1,26117280,2019-08-29 00:00:00,EV2-0035,True,True,False
174.0,3,3,2,25,True,18,6,8,2,2,5,6,7,7,26119980,2019-08-30 21:00:00,EV2-0036,True,True,False
212.0,8,8,6,5,True,42,4,4,0,0,4,4,4,4,26121480,2019-08-31 22:00:00,EV2-0037,True,True,False
6.0,15,14,6,4,True,39,3,3,0,0,3,3,3,3,26121540,2019-08-31 23:00:00,EV2-0038,True,True,False
2.0,16,16,8,7,True,39,4,5,1,1,4,4,5,5,26125800,2019-09-03 22:00:00,EV2-0039,True,True,False
5.0,5,4,2,6,True,18,1,4,3,5,1,1,3,3,26127000,2019-09-04 18:00:00,EV2-0040,True,True,False
6.0,12,11,6,2,True,43,2,2,0,0,2,2,2,2,26127060,2019-09-04 19:00:00,EV2-0041,True,True,False
21.0,5,5,4,7,True,24,4,5,1,1,4,4,5,5,26127300,2019-09-04 23:00:00,EV2-0042,True,True,False
11.0,8,8,7,4,True,44,4,4,0,0,4,4,4,4,26127900,2019-09-05 09:00:00,EV2-0043,True,True,False
12.0,2,2,2,10,True,18,2,6,4,5,2,2,3,4,26144580,2019-09-16 23:00:00,EV2-0044,True,True,False
2.0,10,10,8,2,True,47,2,2,0,0,2,2,2,2,26144640,2019-09-17 00:00:00,EV2-0045,True,True,False
13.0,5,5,4,8,True,24,5,5,0,0,5,5,5,5,26165760,2019-10-01 16:00:00,EV2-0046,True,True,False
2.0,9,9,6,4,True,39,3,3,0,0,3,3,3,3,26566980,2020-07-06 07:00:00,EV2-0047,True,True,False
78.0,7,7,5,4,True,29,3,3,0,0,2,3,3,3,26591520,2020-07-23 08:00:00,EV2-0048,True,True,False
1.0,19,18,6,11,True,35,5,5,0,0,5,5,5,5,26605260,2020-08-01 21:00:00,EV2-0049,True,True,False
6.0,16,13,8,5,True,45,4,4,0,0,4,4,4,4,26605320,2020-08-01 22:00:00,EV2-0050,True,True,False
1.0,44,34,8,24,True,36,9,9,0,0,9,9,9,9,26606700,2020-08-02 21:00:00,EV2-0051,True,True,False
1.0,12,10,6,17,True,30,6,7,1,1,5,6,6,7,26606760,2020-08-02 22:00:00,EV2-0052,True,True,False
2.0,17,15,5,9,True,29,5,5,0,0,4,5,5,5,26608200,2020-08-03 22:00:00,EV2-0053,True,True,False
1.0,10,10,7,7,True,40,6,6,0,0,4,6,6,6,26608440,2020-08-04 02:00:00,EV2-0054,True,True,False
1.0,8,8,6,3,True,38,3,3,0,0,3,3,3,3,26609520,2020-08-04 20:00:00,EV2-0055,True,True,False
5.0,6,6,4,6,True,31,3,3,0,0,3,3,3,3,26609580,2020-08-04 21:00:00,EV2-0056,True,True,False
1.0,7,7,6,7,True,35,1,5,4,6,1,1,3,4,26609640,2020-08-04 22:00:00,EV2-0057,True,True,False
22.0,3,3,2,7,True,18,4,5,1,2,3,4,5,5,26612520,2020-08-06 22:00:00,EV2-0058,True,True,False
