폴드,표본,모델,ROC-AUC(후보내),PR-AUC(후보내),Hit@3(후보내),Recall@3(후보내),Hit@3(전체),Recall@3(전체),평가 Event 수(후보내),평가 Event 수(전체),테스트 Event 수,양성률
2021-01~2021-12,충분,기준선 무작위,0.5,0.12510220768601799,0.35523632678700146,0.09286843586610319,0.35523632678700146,0.08190262094239648,34,34,34,0.12510220768601799
2021-01~2021-12,충분,기준선 초기민원수 상위3,0.669846069268829,0.278480033870828,0.8186274509803922,0.3048202614379085,0.8186274509803922,0.26920040743570156,34,34,34,0.12510220768601799
2021-01~2021-12,충분,기준선 prior만,0.8947223749312809,0.5134887741671859,0.8529411764705882,0.41960784313725485,0.8529411764705882,0.37500318309141845,34,34,34,0.12510220768601799
2021-01~2021-12,충분,XGB 기존15변수(LOO prior),0.8875816993464052,0.5333525760786066,0.8235294117647058,0.35147058823529415,0.8235294117647058,0.31169786096256685,34,34,34,0.12510220768601799
2021-01~2021-12,충분,XGB 15변수+이력,0.8872029808808258,0.5214247777473922,0.9117647058823529,0.4073529411764706,0.9117647058823529,0.3634485612426789,34,34,34,0.12510220768601799
2022-01~2022-12,충분,기준선 무작위,0.5,0.09765625,0.28707213010806737,0.10833893200719141,0.28707213010806737,0.0852370761753446,17,17,17,0.09765625
2022-01~2022-12,충분,기준선 초기민원수 상위3,0.7023376623376623,0.27758350660469666,0.8014705882352942,0.374734477124183,0.8014705882352942,0.33389939309056954,17,17,17,0.09765625
2022-01~2022-12,충분,기준선 prior만,0.9098484848484848,0.4708642270870717,0.8235294117647058,0.47941176470588237,0.8235294117647058,0.3841736694677871,17,17,17,0.09765625
2022-01~2022-12,충분,XGB 기존15변수(LOO prior),0.9123809523809524,0.48666995923676143,0.7058823529411765,0.39117647058823524,0.7058823529411765,0.3400560224089636,17,17,17,0.09765625
2022-01~2022-12,충분,XGB 15변수+이력,0.9153679653679655,0.49299909170426637,0.7647058823529411,0.44019607843137254,0.7647058823529411,0.3890756302521008,17,17,17,0.09765625
2023-07~2023-12,작음(참고용),기준선 무작위,0.5,0.125,0.3448126873126873,0.1258741258741259,0.3448126873126873,0.04652847152847153,2,2,2,0.125
2023-07~2023-12,작음(참고용),기준선 초기민원수 상위3,0.6428571428571428,0.25,1.0,0.36388888888888893,1.0,0.13273809523809524,2,2,2,0.125
2023-07~2023-12,작음(참고용),기준선 prior만,0.9047619047619048,0.5566137566137566,1.0,0.5,1.0,0.17142857142857143,2,2,2,0.125
2023-07~2023-12,작음(참고용),XGB 기존15변수(LOO prior),0.8571428571428571,0.4621947496947496,1.0,0.3333333333333333,1.0,0.12142857142857143,2,2,2,0.125
2023-07~2023-12,작음(참고용),XGB 15변수+이력,0.8531746031746031,0.36001221001221007,1.0,0.3333333333333333,1.0,0.12142857142857143,2,2,2,0.125
2024-07~2024-12,작음(참고용),기준선 무작위,0.5,0.1032258064516129,0.31500407224651095,0.08778007624115361,0.2800036197746764,0.07298056532791189,8,9,9,0.1032258064516129
2024-07~2024-12,작음(참고용),기준선 초기민원수 상위3,0.739152428057554,0.3192634656869959,0.875,0.33333333333333337,0.7777777777777778,0.2775132275132275,8,9,9,0.1032258064516129
2024-07~2024-12,작음(참고용),기준선 prior만,0.88787095323741,0.38504128807405447,0.75,0.2729166666666667,0.6666666666666666,0.22063492063492063,8,9,9,0.1032258064516129
2024-07~2024-12,작음(참고용),XGB 기존15변수(LOO prior),0.8998426258992807,0.44147091913359465,0.75,0.3229166666666667,0.6666666666666666,0.25873015873015875,8,9,9,0.1032258064516129
2024-07~2024-12,작음(참고용),XGB 15변수+이력,0.8980440647482014,0.43009766372641595,0.75,0.2729166666666667,0.6666666666666666,0.22063492063492063,8,9,9,0.1032258064516129
2025-07~2025-09,작음(참고용),기준선 무작위,0.5,0.1111111111111111,0.30064521821487766,0.08350533195734433,0.30064521821487766,0.08350533195734433,3,3,3,0.1111111111111111
2025-07~2025-09,작음(참고용),기준선 초기민원수 상위3,0.759982638888889,0.47644335511982566,1.0,0.5888888888888889,1.0,0.5888888888888889,3,3,3,0.1111111111111111
2025-07~2025-09,작음(참고용),기준선 prior만,0.8975694444444445,0.48701915044020305,0.6666666666666666,0.24444444444444446,0.6666666666666666,0.24444444444444446,3,3,3,0.1111111111111111
2025-07~2025-09,작음(참고용),XGB 기존15변수(LOO prior),0.9053819444444444,0.5623192239858906,0.6666666666666666,0.24444444444444446,0.6666666666666666,0.24444444444444446,3,3,3,0.1111111111111111
2025-07~2025-09,작음(참고용),XGB 15변수+이력,0.9201388888888888,0.6277946250450542,0.6666666666666666,0.3111111111111111,0.6666666666666666,0.3111111111111111,3,3,3,0.1111111111111111
