gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0,event_id,has_positive,has_future,outside_only
345.0,8,6,2,0,True,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-20 09:36:00,EV2-0001,False,False,False
208.0,5,5,3,0,True,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-25 23:05:00,EV2-0002,False,False,False
211.0,4,4,4,2,True,28.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2019-07-04 23:11:00,EV2-0003,True,True,False
785.0,6,5,3,0,True,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-06 19:35:00,EV2-0004,False,False,False
103.0,4,4,4,4,True,29.0,4.0,4.0,0.0,0.0,1.0,4.0,4.0,4.0,2019-07-13 07:20:00,EV2-0005,True,True,False
82.0,6,6,4,3,True,40.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,2019-07-15 20:15:00,EV2-0006,False,True,True
722.0,4,4,3,1,True,31.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2019-07-16 21:05:00,EV2-0007,True,True,False
784.0,6,5,4,37,True,29.0,9.0,14.0,5.0,8.0,6.0,9.0,12.0,14.0,2019-07-23 22:51:00,EV2-0008,True,True,False
138.0,7,7,5,4,True,35.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0,2019-07-24 06:29:00,EV2-0009,True,True,False
213.0,7,7,4,1,True,28.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2019-07-24 15:44:00,EV2-0010,False,True,True
514.0,5,5,5,3,True,40.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0,2019-07-26 06:00:00,EV2-0011,True,True,False
76.0,7,7,4,7,True,24.0,6.0,7.0,1.0,1.0,4.0,6.0,6.0,6.0,2019-07-26 22:35:00,EV2-0012,True,True,False
90.0,4,4,2,3,True,18.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2019-07-27 23:07:00,EV2-0013,True,True,False
126.0,8,7,4,22,True,34.0,7.0,10.0,3.0,3.0,5.0,7.0,9.0,10.0,2019-07-28 23:23:00,EV2-0014,True,True,False
75.0,17,16,7,7,True,47.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,2019-07-29 21:15:00,EV2-0015,True,True,False
665.0,6,5,4,15,True,28.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,2019-07-30 20:49:00,EV2-0016,True,True,False
152.0,4,4,4,2,True,31.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2019-08-01 05:00:00,EV2-0017,True,True,False
275.0,4,4,3,3,True,21.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,2019-08-03 01:44:00,EV2-0018,True,True,False
397.0,8,8,4,6,True,26.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,2019-08-03 17:52:00,EV2-0019,True,True,False
177.0,4,4,3,0,True,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-05 07:24:00,EV2-0020,False,False,False
85.0,4,4,4,1,True,39.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2019-08-08 00:08:00,EV2-0021,True,True,False
326.0,6,6,4,0,True,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-08 15:05:00,EV2-0022,False,False,False
93.0,8,8,5,8,True,27.0,5.0,6.0,1.0,1.0,3.0,5.0,5.0,5.0,2019-08-08 16:50:00,EV2-0023,True,True,False
85.0,8,7,4,5,True,40.0,4.0,4.0,0.0,0.0,2.0,4.0,4.0,4.0,2019-08-08 22:13:00,EV2-0024,True,True,False
129.0,4,4,4,1,True,34.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2019-08-10 18:58:00,EV2-0025,True,True,False
72.0,4,4,3,4,True,31.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2019-08-11 17:01:00,EV2-0026,True,True,False
134.0,5,5,3,0,True,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-13 07:10:00,EV2-0027,False,False,False
109.0,4,4,3,6,True,31.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0,2019-08-14 03:49:00,EV2-0028,True,True,False
64.0,4,4,2,5,True,18.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,5.0,2019-08-14 06:04:00,EV2-0029,True,True,False
302.0,4,4,3,0,True,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-19 23:28:00,EV2-0030,False,False,False
114.0,4,4,4,0,True,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-20 02:40:00,EV2-0031,False,False,False
88.0,5,5,3,1,True,21.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2019-08-20 20:39:00,EV2-0032,True,True,False
85.0,6,6,5,11,True,32.0,8.0,9.0,1.0,1.0,5.0,8.0,9.0,9.0,2019-08-26 00:59:00,EV2-0033,True,True,False
532.0,4,4,3,1,True,39.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2019-08-27 20:14:00,EV2-0034,True,True,False
340.0,5,4,4,45,True,39.0,13.0,13.0,0.0,0.0,8.0,13.0,13.0,13.0,2019-08-28 22:30:00,EV2-0035,True,True,False
188.0,4,4,3,47,True,31.0,8.0,10.0,2.0,2.0,6.0,8.0,10.0,10.0,2019-08-30 21:14:00,EV2-0036,True,True,False
218.0,10,10,7,7,True,47.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,2019-08-31 22:06:00,EV2-0037,True,True,False
308.0,4,4,3,1,True,21.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2019-09-02 15:16:00,EV2-0038,False,True,True
129.0,4,4,4,1,True,36.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2019-09-05 06:40:00,EV2-0039,True,True,False
193.0,4,4,4,2,True,36.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2019-09-05 18:07:00,EV2-0040,True,True,False
134.0,5,5,5,4,True,38.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,2019-09-08 06:00:00,EV2-0041,True,True,False
121.0,5,5,3,2,True,21.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2019-09-09 23:31:00,EV2-0042,False,True,True
705.0,10,9,4,0,True,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-10 20:07:00,EV2-0043,False,False,False
129.0,6,5,4,0,True,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-17 21:50:00,EV2-0044,False,False,False
103.0,5,5,4,0,True,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24 23:09:00,EV2-0045,False,False,False
183.0,4,4,2,1,True,22.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2019-09-26 22:36:00,EV2-0046,True,True,False
226.0,4,4,3,0,True,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-16 21:03:00,EV2-0047,False,False,False
168.0,9,8,4,1,True,35.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2020-05-23 23:23:00,EV2-0048,True,True,False
338.0,5,5,4,0,True,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-10 21:01:00,EV2-0049,False,False,False
1321.0,18,13,6,0,True,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-16 00:58:00,EV2-0050,False,False,False
618.0,4,4,3,4,True,23.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2020-07-09 18:18:00,EV2-0051,True,True,False
120.0,6,6,4,0,True,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-18 08:05:00,EV2-0052,False,False,False
185.0,4,4,4,2,True,30.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2020-07-19 21:57:00,EV2-0053,True,True,False
78.0,7,7,5,4,True,29.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0,2020-07-23 08:00:00,EV2-0054,True,True,False
87.0,6,4,3,0,True,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-27 09:17:00,EV2-0055,False,False,False
581.0,5,4,4,0,True,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-27 19:14:00,EV2-0056,False,False,False
62.0,7,7,5,2,True,42.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2020-08-03 07:18:00,EV2-0057,False,True,True
61.0,4,4,2,3,True,18.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2020-08-03 20:53:00,EV2-0058,True,True,False
100.0,16,16,8,8,True,42.0,6.0,6.0,0.0,0.0,4.0,6.0,6.0,6.0,2020-08-04 01:43:00,EV2-0059,True,True,False
173.0,14,13,6,11,True,38.0,7.0,7.0,0.0,0.0,6.0,7.0,7.0,7.0,2020-08-04 19:27:00,EV2-0060,True,True,False
104.0,4,4,2,0,True,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-08 18:03:00,EV2-0061,False,False,False
156.0,6,6,4,3,True,26.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0,2020-08-10 15:53:00,EV2-0062,True,True,False
68.0,4,4,3,4,True,21.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0,2020-08-10 17:53:00,EV2-0063,True,True,False
165.0,4,4,2,0,True,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-12 08:45:00,EV2-0064,False,False,False
207.0,4,4,4,3,True,31.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2020-08-15 03:48:00,EV2-0065,True,True,False
816.0,12,10,7,45,True,40.0,11.0,14.0,3.0,12.0,8.0,11.0,12.0,13.0,2020-08-15 22:30:00,EV2-0066,True,True,False
136.0,4,4,4,9,True,38.0,6.0,7.0,1.0,1.0,5.0,6.0,7.0,7.0,2020-08-16 23:00:00,EV2-0067,True,True,False
81.0,7,7,5,5,True,41.0,5.0,5.0,0.0,0.0,3.0,5.0,5.0,5.0,2020-08-19 02:22:00,EV2-0068,True,True,False
133.0,4,4,3,1,True,35.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2020-08-20 23:22:00,EV2-0069,True,True,False
397.0,4,4,2,2,True,26.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-08-21 21:20:00,EV2-0070,True,True,False
125.0,5,5,4,8,True,36.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,2020-08-22 20:01:00,EV2-0071,True,True,False
109.0,6,5,2,1,True,18.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2020-08-24 06:24:00,EV2-0072,True,True,False
244.0,5,5,5,13,True,41.0,6.0,8.0,2.0,2.0,6.0,6.0,7.0,8.0,2020-08-25 00:30:00,EV2-0073,True,True,False
68.0,4,4,3,1,True,26.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2020-08-25 20:06:00,EV2-0074,True,True,False
187.0,4,4,4,2,True,33.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2020-08-27 22:54:00,EV2-0075,True,True,False
264.0,9,9,6,2,True,38.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2020-08-28 17:03:00,EV2-0076,True,True,False
533.0,11,10,7,2,True,46.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2020-08-29 16:47:00,EV2-0077,True,True,False
274.0,7,7,5,4,True,38.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0,2020-08-30 05:46:00,EV2-0078,True,True,False
113.0,13,12,5,14,True,34.0,5.0,6.0,1.0,2.0,5.0,5.0,6.0,6.0,2020-09-04 21:37:00,EV2-0079,True,True,False
126.0,6,5,2,4,True,18.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2020-09-14 00:13:00,EV2-0080,True,True,False
63.0,32,29,8,7,True,46.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,2020-09-18 21:28:00,EV2-0081,True,True,False
66.0,8,7,3,2,True,23.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2020-09-19 21:55:00,EV2-0082,True,True,False
465.0,4,4,4,1,True,38.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2020-09-22 19:26:00,EV2-0083,True,True,False
312.0,7,6,3,15,True,23.0,6.0,10.0,4.0,5.0,5.0,6.0,7.0,8.0,2020-10-01 20:48:00,EV2-0084,True,True,False
61.0,6,6,2,18,True,26.0,7.0,10.0,3.0,3.0,4.0,7.0,9.0,10.0,2020-10-01 23:54:00,EV2-0085,True,True,False
1311.0,4,4,3,0,True,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-05 08:28:00,EV2-0086,False,False,False
398.0,5,5,5,3,True,44.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2021-04-02 22:34:00,EV2-0087,True,True,False
514.0,4,4,2,0,True,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-01 21:22:00,EV2-0088,False,False,False
125.0,4,4,3,0,True,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-05 19:32:00,EV2-0089,False,False,False
132.0,4,4,4,0,True,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-09 15:44:00,EV2-0090,False,False,False
545.0,6,4,2,7,True,18.0,3.0,5.0,2.0,3.0,1.0,3.0,4.0,4.0,2021-06-17 07:58:00,EV2-0091,True,True,False
192.0,6,6,6,1,True,46.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2021-06-22 01:32:00,EV2-0092,True,True,False
