폴드,학습 기간,학습 Event,테스트 Event,예측창에 민원 있음,후보 안 정답 있음,후보 밖에만 있음,상태,표본
2021-01~2021-12,2019-06~2020-10,86,51,32,32,0,사용,충분
2022-01~2022-12,2019-06~2021-11,137,33,21,20,1,사용,충분
2023-01~2023-06,2019-06~2022-10,170,2,0,0,0,사용,"작음(<15, 참고용)"
2023-07~2023-12,2019-06~2023-06,172,11,9,6,3,사용,"작음(<15, 참고용)"
2024-01~2024-06,2019-06~2023-10,183,6,5,4,1,사용,"작음(<15, 참고용)"
2024-07~2024-12,2019-06~2024-06,189,25,21,20,1,사용,충분
2025-01~2025-06,2019-06~2024-12,214,2,0,0,0,사용,"작음(<15, 참고용)"
2025-07~2025-12,2019-06~2025-06,216,8,5,5,0,사용,"작음(<15, 참고용)"
2026-01~2026-06,2019-06~2025-10,224,2,1,1,0,사용,"작음(<15, 참고용)"
2026-07~2026-07,2019-06~2026-06,226,2,1,1,0,사용,"작음(<15, 참고용)"
