폴드,표본,모델,ROC-AUC(후보내),PR-AUC(후보내),Hit@3(후보내),Recall@3(후보내),Hit@3(전체),Recall@3(전체),평가 Event 수(후보내),평가 Event 수(전체),테스트 Event 수,양성률
2021-01~2021-12,충분,기준선 무작위,0.5,0.04465408805031446,0.20335504632813675,0.10156342810507146,0.20335504632813675,0.08635261779350947,32,32,51,0.04465408805031446
2021-01~2021-12,충분,기준선 초기민원수 상위3,0.6626579755027863,0.12428903975376204,0.5963541666666666,0.376171875,0.5963541666666666,0.3247829861111111,32,32,51,0.04465408805031446
2021-01~2021-12,충분,기준선 prior만,0.8100585077283982,0.13977695744222146,0.6009615384615384,0.3551282051282051,0.6009615384615384,0.30096153846153845,32,32,51,0.04465408805031446
2021-01~2021-12,충분,XGB 기존15변수(LOO prior),0.8235866813785941,0.17200752096508543,0.65625,0.45416666666666666,0.65625,0.4005208333333333,32,32,51,0.04465408805031446
2021-01~2021-12,충분,XGB 15변수+이력,0.8580608072397519,0.19655520613879554,0.71875,0.4526041666666667,0.71875,0.4057291666666667,32,32,51,0.04465408805031446
2022-01~2022-12,충분,기준선 무작위,0.5,0.05425531914893617,0.23912521433839604,0.10649712486749452,0.227738299369901,0.09180255322127422,20,21,33,0.05425531914893617
2022-01~2022-12,충분,기준선 초기민원수 상위3,0.6425924700588899,0.11238355035051371,0.6089583333333333,0.33059325396825395,0.5799603174603174,0.2842384731670446,20,21,33,0.05425531914893617
2022-01~2022-12,충분,기준선 prior만,0.8415381900791812,0.18457587004978465,0.7,0.3175,0.6666666666666666,0.2444444444444444,20,21,33,0.05425531914893617
2022-01~2022-12,충분,XGB 기존15변수(LOO prior),0.825382121352478,0.20463735609007683,0.65,0.3075,0.6190476190476191,0.23492063492063492,20,21,33,0.05425531914893617
2022-01~2022-12,충분,XGB 15변수+이력,0.8355499680187036,0.17900367644271126,0.6,0.2925,0.5714285714285714,0.2126984126984127,20,21,33,0.05425531914893617
2023-01~2023-06,작음(참고용),기준선 무작위,,,,,,,0,0,2,0.0
2023-01~2023-06,작음(참고용),기준선 초기민원수 상위3,,,,,,,0,0,2,0.0
2023-01~2023-06,작음(참고용),기준선 prior만,,,,,,,0,0,2,0.0
2023-01~2023-06,작음(참고용),XGB 기존15변수(LOO prior),,,,,,,0,0,2,0.0
2023-01~2023-06,작음(참고용),XGB 15변수+이력,,,,,,,0,0,2,0.0
2023-07~2023-12,작음(참고용),기준선 무작위,0.5,0.021341463414634148,0.11682412849091818,0.10467837950306395,0.07788275232727879,0.046377354652249465,6,9,11,0.021341463414634148
2023-07~2023-12,작음(참고용),기준선 초기민원수 상위3,0.7514463729417,0.38057491289198603,0.6666666666666666,0.5833333333333334,0.4444444444444444,0.25925925925925924,6,9,11,0.021341463414634148
2023-07~2023-12,작음(참고용),기준선 prior만,0.7171784601691144,0.059234166461030566,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.16666666666666666,6,9,11,0.021341463414634148
2023-07~2023-12,작음(참고용),XGB 기존15변수(LOO prior),0.7129506008010681,0.06784371210127185,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.2777777777777778,6,9,11,0.021341463414634148
2023-07~2023-12,작음(참고용),XGB 15변수+이력,0.79884290164664,0.11523298064574951,0.8333333333333334,0.8333333333333334,0.5555555555555556,0.3888888888888889,6,9,11,0.021341463414634148
2024-01~2024-06,작음(참고용),기준선 무작위,0.5,0.04395604395604396,0.23076923076923073,0.23076923076923078,0.18461538461538457,0.18461538461538463,4,5,6,0.04395604395604396
2024-01~2024-06,작음(참고용),기준선 초기민원수 상위3,0.9942528735632185,0.8333333333333333,1.0,1.0,0.8,0.8,4,5,6,0.04395604395604396
2024-01~2024-06,작음(참고용),기준선 prior만,0.46551724137931033,0.04395604395604396,0.23076923076923073,0.23076923076923078,0.18461538461538457,0.18461538461538463,4,5,6,0.04395604395604396
