구분,Event 수,예측창에 민원 있음,후보 안 정답 있음,정답이 전부 후보 밖,미래 정답 격자 수(합),후보 밖 정답 격자 수(합),예측창 신고 수(합),후보 밖 신고 수(합),후보 밖 비율(격자) 95%CI,후보 밖 비율(신고 건수) 95%CI,정답 전부 후보 밖 Event 비율 95%CI,후보 밖 비율(격자),후보 밖 비율(신고 건수),후보 포함률(격자 기준),반경1 포함률,반경2 포함률,반경3 포함률,반경4 포함률
전체 Event,228,161,150,11,466,77,749,94,"16.5% [12.8%, 20.3%]","12.6% [9.2%, 16.1%]","6.8% [3.9%, 11.8%]",0.16523605150214593,0.12550066755674233,0.8347639484978541,0.6695278969957081,0.8347639484978541,0.9184549356223176,0.9484978540772532
테스트 2021-01~2021-12,51,32,32,0,83,12,117,14,"14.5% [6.8%, 22.6%]","12.0% [5.9%, 20.4%]","0.0% [0.0%, 10.7%]",0.14457831325301204,0.11965811965811966,0.8554216867469879,0.7469879518072289,0.8554216867469879,0.9397590361445783,0.9397590361445783
테스트 2022-01~2022-12,33,21,20,1,59,8,79,8,"13.6% [6.0%, 22.2%]","10.1% [4.3%, 16.1%]","4.8% [0.8%, 22.7%]",0.13559322033898305,0.10126582278481013,0.864406779661017,0.711864406779661,0.864406779661017,0.8983050847457628,0.9322033898305084
테스트 2023-01~2023-06,2,0,0,0,0,0,0,0,-,-,-,,,,,,,
테스트 2023-07~2023-12,11,9,6,3,15,8,15,8,"53.3% [35.3%, 73.3%]","53.3% [35.0%, 76.5%]","33.3% [12.1%, 64.6%]",0.5333333333333333,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.8666666666666667,0.8666666666666667
테스트 2024-01~2024-06,6,5,4,1,5,1,10,1,"20.0% [0.0%, 66.7%]","10.0% [0.0%, 50.0%]","20.0% [3.6%, 62.4%]",0.2,0.1,0.8,0.8,0.8,0.8,0.8
테스트 2024-07~2024-12,25,21,20,1,28,2,38,2,"7.1% [0.0%, 18.2%]","5.3% [0.0%, 14.3%]","4.8% [0.8%, 22.7%]",0.07142857142857142,0.05263157894736842,0.9285714285714286,0.7857142857142857,0.9285714285714286,0.9285714285714286,0.9642857142857143
테스트 2025-01~2025-06,2,0,0,0,0,0,0,0,-,-,-,,,,,,,
테스트 2025-07~2025-12,8,5,5,0,8,0,10,0,"0.0% [0.0%, 0.0%]","0.0% [0.0%, 0.0%]","0.0% [0.0%, 43.4%]",0.0,0.0,1.0,0.75,1.0,1.0,1.0
테스트 2026-01~2026-06,2,1,1,0,2,0,4,0,"0.0% [0.0%, 0.0%]","0.0% [0.0%, 0.0%]","0.0% [0.0%, 79.3%]",0.0,0.0,1.0,1.0,1.0,1.0,1.0
테스트 2026-07~2026-07,2,1,1,0,2,1,2,1,"50.0% [50.0%, 50.0%]","50.0% [50.0%, 50.0%]","0.0% [0.0%, 79.3%]",0.5,0.5,0.5,0.5,0.5,0.5,0.5
