폴드,모델,평가 Event(전체),Hit@3(전체),Wilson 하한,Wilson 상한,기준선 대비 Δ,Δ 하한,Δ 상한
2021-01~2021-12,기준선 무작위,32,0.20335504632813675,0.09959685442276064,0.370703661318745,-0.3976064921334017,-0.5289984815404125,-0.2594644646777288
2021-01~2021-12,기준선 초기민원수 상위3,32,0.5963541666666666,0.4250694094290966,0.7469839215233907,-0.004607371794871799,-0.18229166666666669,0.18204126602564089
2021-01~2021-12,기준선 prior만,32,0.6009615384615384,0.4294534253706186,0.7508269879351059,0.0,0.0,0.0
2021-01~2021-12,XGB 기존15변수(LOO prior),32,0.65625,0.4831077350878594,0.7958976664567146,0.055288461538461536,-0.09375,0.21216947115384613
2021-01~2021-12,XGB 15변수+이력,32,0.71875,0.546251630618882,0.8443559315435214,0.11778846153846154,-0.046875,0.26219951923076906
2022-01~2022-12,기준선 무작위,21,0.227738299369901,0.09963474226659894,0.44004903710090726,-0.43892836729676565,-0.5973519845193704,-0.27881161451764075
2022-01~2022-12,기준선 초기민원수 상위3,21,0.5799603174603174,0.37310813810278604,0.7620817584148831,-0.0867063492063492,-0.3043402777777777,0.14021825396825385
2022-01~2022-12,기준선 prior만,21,0.6666666666666666,0.45373075657210293,0.8280546356731631,0.0,0.0,0.0
2022-01~2022-12,XGB 기존15변수(LOO prior),21,0.6190476190476191,0.40878295815501514,0.7924923220201749,-0.047619047619047616,-0.14285714285714285,0.0
2022-01~2022-12,XGB 15변수+이력,21,0.5714285714285714,0.3654621629703244,0.7553030051347894,-0.09523809523809523,-0.23809523809523808,0.0
2023-01~2023-06,기준선 무작위,0,,,,,,
2023-01~2023-06,기준선 초기민원수 상위3,0,,,,,,
2023-01~2023-06,기준선 prior만,0,,,,,,
2023-01~2023-06,XGB 기존15변수(LOO prior),0,,,,,,
2023-01~2023-06,XGB 15변수+이력,0,,,,,,
2023-07~2023-12,기준선 무작위,9,0.07788275232727879,0.010691226172512253,0.397629352407339,-0.14433946989494345,,
2023-07~2023-12,기준선 초기민원수 상위3,9,0.4444444444444444,0.188775429471914,0.7333526542559703,0.2222222222222222,,
2023-07~2023-12,기준선 prior만,9,0.2222222222222222,0.06322376231222723,0.5474166563271946,0.0,,
2023-07~2023-12,XGB 기존15변수(LOO prior),9,0.4444444444444444,0.188775429471914,0.7333526542559703,0.2222222222222222,,
2023-07~2023-12,XGB 15변수+이력,9,0.5555555555555556,0.2666473457440297,0.811224570528086,0.3333333333333333,,
2024-01~2024-06,기준선 무작위,5,0.18461538461538457,0.03150448918459825,0.6117901459667143,0.0,,
2024-01~2024-06,기준선 초기민원수 상위3,5,0.8,0.3755282641185388,0.9637768390302125,0.6153846153846154,,
2024-01~2024-06,기준선 prior만,5,0.18461538461538457,0.03150448918459825,0.6117901459667143,0.0,,
2024-01~2024-06,XGB 기존15변수(LOO prior),5,0.8,0.3755282641185388,0.9637768390302125,0.6153846153846154,,
2024-01~2024-06,XGB 15변수+이력,5,0.8,0.3755282641185388,0.9637768390302125,0.6153846153846154,,
2024-07~2024-12,기준선 무작위,21,0.16322923745175555,0.06092490633737155,0.36969260513426194,-0.4558183815958635,-0.6336886346814724,-0.2777212643528042
2024-07~2024-12,기준선 초기민원수 상위3,21,0.6992063492063492,0.48544346400856003,0.8513571714845911,0.08015873015873017,-0.08333333333333333,0.24761904761904763
2024-07~2024-12,기준선 prior만,21,0.6190476190476191,0.40878295815501514,0.7924923220201749,0.0,0.0,0.0
2024-07~2024-12,XGB 기존15변수(LOO prior),21,0.7142857142857143,0.500432261771624,0.8618632425437179,0.09523809523809523,0.0,0.23809523809523808
2024-07~2024-12,XGB 15변수+이력,21,0.6666666666666666,0.45373075657210293,0.8280546356731631,0.047619047619047616,-0.09523809523809523,0.23809523809523808
2025-01~2025-06,기준선 무작위,0,,,,,,
2025-01~2025-06,기준선 초기민원수 상위3,0,,,,,,
2025-01~2025-06,기준선 prior만,0,,,,,,
2025-01~2025-06,XGB 기존15변수(LOO prior),0,,,,,,
2025-01~2025-06,XGB 15변수+이력,0,,,,,,
2025-07~2025-12,기준선 무작위,5,0.1716095692732315,0.0277167968757836,0.600868039888186,-0.02839043072676848,,
2025-07~2025-12,기준선 초기민원수 상위3,5,0.575,0.21493678361441582,0.869889492172772,0.375,,
2025-07~2025-12,기준선 prior만,5,0.2,0.03622316096978745,0.6244717358814613,0.0,,
2025-07~2025-12,XGB 기존15변수(LOO prior),5,0.2,0.03622316096978745,0.6244717358814613,0.0,,
2025-07~2025-12,XGB 15변수+이력,5,0.4,0.1176182311592533,0.769280067791163,0.2,,
2026-01~2026-06,기준선 무작위,1,0.17112299465240643,0.007056707419089703,0.8570886142317721,-0.8288770053475936,,
2026-01~2026-06,기준선 초기민원수 상위3,1,1.0,0.20654329147389294,1.0,0.0,,
2026-01~2026-06,기준선 prior만,1,1.0,0.20654329147389294,1.0,0.0,,
2026-01~2026-06,XGB 기존15변수(LOO prior),1,1.0,0.20654329147389294,1.0,0.0,,
2026-01~2026-06,XGB 15변수+이력,1,1.0,0.20654329147389294,1.0,0.0,,
2026-07~2026-07,기준선 무작위,1,0.07317073170731703,0.001344731638731167,0.8223378244201407,0.07317073170731703,,
2026-07~2026-07,기준선 초기민원수 상위3,1,0.4,0.03580836066403531,0.922882981041186,0.4,,
2026-07~2026-07,기준선 prior만,1,0.0,0.0,0.7934567085261071,0.0,,
2026-07~2026-07,XGB 기존15변수(LOO prior),1,0.0,0.0,0.7934567085261071,0.0,,
2026-07~2026-07,XGB 15변수+이력,1,0.0,0.0,0.7934567085261071,0.0,,
(합산) 2023년 이후 반기들,기준선 무작위,42,0.14652802983893284,0.06957816533653716,0.2827209364939042,-0.2802118969009939,-0.40840602414425675,-0.14948835538132277
