구분,Event 수,예측창에 민원 있음,후보 안 정답 있음,정답이 전부 후보 밖,미래 정답 격자 수(합),후보 밖 정답 격자 수(합),예측창 신고 수(합),후보 밖 신고 수(합),후보 밖 비율(격자) 95%CI,후보 밖 비율(신고 건수) 95%CI,정답 전부 후보 밖 Event 비율 95%CI,후보 밖 비율(격자),후보 밖 비율(신고 건수),후보 포함률(격자 기준),반경1 포함률,반경2 포함률,반경3 포함률,반경4 포함률
전체 Event,303,258,246,12,973,101,1634,122,"10.4% [8.2%, 12.8%]","7.5% [5.6%, 9.7%]","4.7% [2.7%, 8.0%]",0.10380267214799589,0.07466340269277846,0.8961973278520041,0.7810894141829393,0.8961973278520041,0.9516957862281603,0.9743062692702981
테스트 2021-01~2021-12,68,53,52,1,198,23,310,27,"11.6% [7.6%, 15.6%]","8.7% [5.5%, 12.3%]","1.9% [0.3%, 9.9%]",0.11616161616161616,0.08709677419354839,0.8838383838383839,0.7828282828282829,0.8838383838383839,0.9444444444444444,0.9646464646464646
테스트 2022-01~2022-12,38,33,31,2,106,14,170,15,"13.2% [6.8%, 20.6%]","8.8% [4.1%, 14.3%]","6.1% [1.7%, 19.6%]",0.1320754716981132,0.08823529411764706,0.8679245283018868,0.8113207547169812,0.8679245283018868,0.9245283018867925,0.9528301886792453
테스트 2023-07~2023-12,9,8,6,2,16,5,17,5,"31.2% [4.2%, 68.8%]","29.4% [4.7%, 66.7%]","25.0% [7.1%, 59.1%]",0.3125,0.29411764705882354,0.6875,0.5,0.6875,0.875,0.9375
테스트 2024-01~2024-06,3,1,1,0,1,0,1,0,"0.0% [0.0%, 0.0%]","0.0% [0.0%, 0.0%]","0.0% [0.0%, 79.3%]",0.0,0.0,1.0,1.0,1.0,1.0,1.0
테스트 2024-07~2024-12,18,16,14,2,41,4,66,4,"9.8% [2.2%, 18.9%]","6.1% [1.5%, 13.3%]","12.5% [3.5%, 36.0%]",0.0975609756097561,0.06060606060606061,0.9024390243902439,0.8048780487804879,0.9024390243902439,0.975609756097561,0.975609756097561
테스트 2025-01~2025-06,1,1,1,0,2,1,3,1,"50.0% [50.0%, 50.0%]","33.3% [33.3%, 33.3%]","0.0% [0.0%, 79.3%]",0.5,0.3333333333333333,0.5,0.5,0.5,0.5,1.0
테스트 2025-07~2025-12,11,9,9,0,23,0,35,0,"0.0% [0.0%, 0.0%]","0.0% [0.0%, 0.0%]","0.0% [0.0%, 29.9%]",0.0,0.0,1.0,0.9565217391304348,1.0,1.0,1.0
테스트 2026-01~2026-06,1,1,1,0,1,0,1,0,"0.0% [0.0%, 0.0%]","0.0% [0.0%, 0.0%]","0.0% [0.0%, 79.3%]",0.0,0.0,1.0,1.0,1.0,1.0,1.0
테스트 2026-07~2026-07,1,1,1,0,2,1,2,1,"50.0% [50.0%, 50.0%]","50.0% [50.0%, 50.0%]","0.0% [0.0%, 79.3%]",0.5,0.5,0.5,0.5,0.5,0.5,0.5
