폴드,모델,평가 Event(전체),Hit@3(전체),Wilson 하한,Wilson 상한,기준선 대비 Δ,Δ 하한,Δ 상한
2021-01~2021-12,기준선 무작위,53,0.2492767169573282,0.15249080005745919,0.37995255124645877,-0.39223271700493595,-0.49978004034854606,-0.2953889308429061
2021-01~2021-12,기준선 초기민원수 상위3,53,0.6748427672955974,0.5406755906238683,0.7853766903346784,0.03333333333333333,-0.07547169811320754,0.14564465408805027
2021-01~2021-12,기준선 prior만,53,0.6415094339622641,0.5069089329999881,0.7569823015887636,0.0,0.0,0.0
2021-01~2021-12,XGB 기존15변수(LOO prior),53,0.6981132075471698,0.5646291313003242,0.8048185971239281,0.05660377358490566,0.0,0.11320754716981132
2021-01~2021-12,XGB 15변수+이력,53,0.7169811320754716,0.5842945799989226,0.8203386463704966,0.07547169811320754,-0.018867924528301886,0.16981132075471697
2022-01~2022-12,기준선 무작위,33,0.2417120971983965,0.12779948279082007,0.40948984272962885,-0.5158636603773612,-0.6312727377110421,-0.37506910832534635
2022-01~2022-12,기준선 초기민원수 상위3,33,0.7242424242424242,0.5546691126217962,0.8470506823925354,-0.03333333333333333,-0.11977272727272727,0.048484848484848485
2022-01~2022-12,기준선 prior만,33,0.7575757575757576,0.5897505131450971,0.8716843865335271,0.0,0.0,0.0
2022-01~2022-12,XGB 기존15변수(LOO prior),33,0.7575757575757576,0.5897505131450971,0.8716843865335271,0.0,-0.09090909090909091,0.09090909090909091
2022-01~2022-12,XGB 15변수+이력,33,0.7272727272727273,0.5578211674561319,0.849327273436772,-0.030303030303030304,-0.09090909090909091,0.0
2023-07~2023-12,기준선 무작위,8,0.09721943079843216,0.014469238695677095,0.44130623867012775,-0.2777805692015678,,
2023-07~2023-12,기준선 초기민원수 상위3,8,0.4375,0.17449559995652003,0.7410563524823395,0.0625,,
2023-07~2023-12,기준선 prior만,8,0.375,0.13684175946152105,0.6942621454161981,0.0,,
2023-07~2023-12,XGB 기존15변수(LOO prior),8,0.625,0.30573785458380187,0.863158240538479,0.25,,
2023-07~2023-12,XGB 15변수+이력,8,0.375,0.13684175946152105,0.6942621454161981,0.0,,
2024-01~2024-06,기준선 무작위,1,0.23076923076923073,0.012553016616230872,0.8762313648978268,0.0,,
2024-01~2024-06,기준선 초기민원수 상위3,1,1.0,0.20654329147389294,1.0,0.7692307692307693,,
2024-01~2024-06,기준선 prior만,1,0.23076923076923073,0.012553016616230872,0.8762313648978268,0.0,,
2024-01~2024-06,XGB 기존15변수(LOO prior),1,1.0,0.20654329147389294,1.0,0.7692307692307693,,
2024-01~2024-06,XGB 15변수+이력,1,1.0,0.20654329147389294,1.0,0.7692307692307693,,
2024-07~2024-12,기준선 무작위,16,0.2072911916244573,0.07680956182689269,0.4511175273182687,-0.5427088083755427,-0.7080377777696308,-0.34113975787808754
2024-07~2024-12,기준선 초기민원수 상위3,16,0.75,0.5050123107060135,0.8981809801576265,0.0,-0.1875,0.1875
2024-07~2024-12,기준선 prior만,16,0.75,0.5050123107060135,0.8981809801576265,0.0,0.0,0.0
2024-07~2024-12,XGB 기존15변수(LOO prior),16,0.75,0.5050123107060135,0.8981809801576265,0.0,0.0,0.0
2024-07~2024-12,XGB 15변수+이력,16,0.75,0.5050123107060135,0.8981809801576265,0.0,0.0,0.0
2025-01~2025-06,기준선 무작위,1,0.16666666666666663,0.0067056116076047445,0.8555988607431332,0.16666666666666663,,
2025-01~2025-06,기준선 초기민원수 상위3,1,0.0625,0.0009859720458987309,0.8182886479144449,0.0625,,
2025-01~2025-06,기준선 prior만,1,0.0,0.0,0.7934567085261071,0.0,,
2025-01~2025-06,XGB 기존15변수(LOO prior),1,0.0,0.0,0.7934567085261071,0.0,,
2025-01~2025-06,XGB 15변수+이력,1,0.0,0.0,0.7934567085261071,0.0,,
2025-07~2025-12,기준선 무작위,9,0.21313476120801272,0.059086979212908036,0.5388155953684705,-0.23130968323643172,,
2025-07~2025-12,기준선 초기민원수 상위3,9,0.6990740740740741,0.3816848222906764,0.897356211017738,0.25462962962962965,,
2025-07~2025-12,기준선 prior만,9,0.4444444444444444,0.188775429471914,0.7333526542559703,0.0,,
2025-07~2025-12,XGB 기존15변수(LOO prior),9,0.5555555555555556,0.2666473457440297,0.811224570528086,0.1111111111111111,,
2025-07~2025-12,XGB 15변수+이력,9,0.6666666666666666,0.35419734749908977,0.879418401317257,0.2222222222222222,,
