구분,Event 수,예측창에 민원 있음,후보 안 정답 있음,정답이 전부 후보 밖,미래 정답 격자 수(합),후보 밖 정답 격자 수(합),예측창 신고 수(합),후보 밖 신고 수(합),후보 밖 비율(격자) 95%CI,후보 밖 비율(신고 건수) 95%CI,정답 전부 후보 밖 Event 비율 95%CI,후보 밖 비율(격자),후보 밖 비율(신고 건수),후보 포함률(격자 기준),반경1 포함률,반경2 포함률,반경3 포함률,반경4 포함률
전체 Event,306,272,266,6,1107,130,2003,175,"11.7% [9.4%, 14.3%]","8.7% [6.2%, 12.1%]","2.2% [1.0%, 4.7%]",0.11743450767841011,0.08736894658012981,0.8825654923215899,0.7624209575429087,0.8825654923215899,0.94579945799458,0.9728997289972899
테스트 2021-01~2021-12,71,63,62,1,248,38,397,46,"15.3% [11.1%, 19.7%]","11.6% [7.3%, 16.5%]","1.6% [0.3%, 8.5%]",0.1532258064516129,0.11586901763224182,0.8467741935483871,0.7459677419354839,0.8467741935483871,0.9354838709677419,0.9556451612903226
테스트 2022-01~2022-12,40,36,34,2,125,17,199,18,"13.6% [6.2%, 21.0%]","9.0% [4.0%, 16.1%]","5.6% [1.5%, 18.1%]",0.136,0.09045226130653267,0.864,0.8,0.864,0.912,0.968
테스트 2023-07~2023-12,9,7,7,0,22,5,25,5,"22.7% [0.0%, 40.0%]","20.0% [5.6%, 39.1%]","0.0% [0.0%, 35.4%]",0.22727272727272727,0.2,0.7727272727272727,0.6363636363636364,0.7727272727272727,0.9545454545454546,0.9545454545454546
테스트 2024-01~2024-06,3,1,1,0,1,0,7,0,"0.0% [0.0%, 0.0%]","0.0% [0.0%, 0.0%]","0.0% [0.0%, 79.3%]",0.0,0.0,1.0,1.0,1.0,1.0,1.0
테스트 2024-07~2024-12,18,15,15,0,52,8,95,11,"15.4% [5.6%, 25.0%]","11.6% [3.8%, 16.9%]","0.0% [0.0%, 20.4%]",0.15384615384615385,0.11578947368421053,0.8461538461538461,0.7692307692307693,0.8461538461538461,0.9423076923076923,0.9615384615384616
테스트 2025-01~2025-06,1,1,1,0,2,0,13,0,"0.0% [0.0%, 0.0%]","0.0% [0.0%, 0.0%]","0.0% [0.0%, 79.3%]",0.0,0.0,1.0,1.0,1.0,1.0,1.0
테스트 2025-07~2025-12,12,9,9,0,27,0,46,0,"0.0% [0.0%, 0.0%]","0.0% [0.0%, 0.0%]","0.0% [0.0%, 29.9%]",0.0,0.0,1.0,0.8888888888888888,1.0,1.0,1.0
테스트 2026-01~2026-06,1,1,1,0,1,0,1,0,"0.0% [0.0%, 0.0%]","0.0% [0.0%, 0.0%]","0.0% [0.0%, 79.3%]",0.0,0.0,1.0,1.0,1.0,1.0,1.0
테스트 2026-07~2026-07,1,1,1,0,3,2,4,3,"66.7% [66.7%, 66.7%]","75.0% [75.0%, 75.0%]","0.0% [0.0%, 79.3%]",0.6666666666666666,0.75,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
