폴드,모델,평가 Event(전체),Hit@3(전체),Wilson 하한,Wilson 상한,기준선 대비 Δ,Δ 하한,Δ 상한
2021-01~2021-12,기준선 무작위,63,0.2767732512706044,0.18157967971155087,0.39762592967087207,-0.349600375103022,-0.44742464771615764,-0.24438137378966093
2021-01~2021-12,기준선 초기민원수 상위3,63,0.7203703703703703,0.5993646233108468,0.816045340942951,0.093996743996744,-0.013191900691900687,0.20213013838013838
2021-01~2021-12,기준선 prior만,63,0.6263736263736264,0.502907319109218,0.735313742670825,0.0,0.0,0.0
2021-01~2021-12,XGB 기존15변수(LOO prior),63,0.6825396825396826,0.559962360918752,0.7841347283190879,0.05616605616605616,0.0,0.11965811965811965
2021-01~2021-12,XGB 15변수+이력,63,0.6825396825396826,0.559962360918752,0.7841347283190879,0.05616605616605616,0.0,0.11965811965811965
2022-01~2022-12,기준선 무작위,36,0.27605231341945685,0.157161125712728,0.4381303928558258,-0.43228101991387646,-0.5418628776583272,-0.3112063379349492
2022-01~2022-12,기준선 초기민원수 상위3,36,0.7259259259259259,0.5639333361076841,0.8443501330970331,0.017592592592592594,-0.08844907407407407,0.13333333333333333
2022-01~2022-12,기준선 prior만,36,0.7083333333333334,0.5456831662719293,0.8308077377078307,0.0,0.0,0.0
2022-01~2022-12,XGB 기존15변수(LOO prior),36,0.6944444444444444,0.5314342132091627,0.8199572971719464,-0.013888888888888888,-0.05555555555555555,0.0
2022-01~2022-12,XGB 15변수+이력,36,0.6944444444444444,0.5314342132091627,0.8199572971719464,-0.013888888888888888,-0.05555555555555555,0.0
2023-07~2023-12,기준선 무작위,7,0.18122174325782167,0.038568387635446455,0.5497861361995505,-0.39020682817074975,,
2023-07~2023-12,기준선 초기민원수 상위3,7,0.5428571428571428,0.23074612211897472,0.8245962627688647,-0.028571428571428564,,
2023-07~2023-12,기준선 prior만,7,0.5714285714285714,0.2504542304090258,0.8417830777373732,0.0,,
2023-07~2023-12,XGB 기존15변수(LOO prior),7,0.5714285714285714,0.2504542304090258,0.8417830777373732,0.0,,
2023-07~2023-12,XGB 15변수+이력,7,0.5714285714285714,0.2504542304090258,0.8417830777373732,0.0,,
2024-01~2024-06,기준선 무작위,1,0.23076923076923073,0.012553016616230872,0.8762313648978268,0.0,,
2024-01~2024-06,기준선 초기민원수 상위3,1,1.0,0.20654329147389294,1.0,0.7692307692307693,,
2024-01~2024-06,기준선 prior만,1,0.23076923076923073,0.012553016616230872,0.8762313648978268,0.0,,
2024-01~2024-06,XGB 기존15변수(LOO prior),1,1.0,0.20654329147389294,1.0,0.7692307692307693,,
2024-01~2024-06,XGB 15변수+이력,1,1.0,0.20654329147389294,1.0,0.7692307692307693,,
2024-07~2024-12,기준선 무작위,15,0.3030526052603998,0.1318404603332347,0.5545756698155846,-0.6302807280729336,-0.7236889791071565,-0.48183814167510014
2024-07~2024-12,기준선 초기민원수 상위3,15,0.9000000000000001,0.660326086956522,0.9765625,-0.033333333333333326,-0.2222222222222222,0.15555555555555559
2024-07~2024-12,기준선 prior만,15,0.9333333333333333,0.7018292244757601,0.9881334113938051,0.0,0.0,0.0
2024-07~2024-12,XGB 기존15변수(LOO prior),15,0.9333333333333333,0.7018292244757601,0.9881334113938051,0.0,0.0,0.0
2024-07~2024-12,XGB 15변수+이력,15,0.9333333333333333,0.7018292244757601,0.9881334113938051,0.0,0.0,0.0
2025-01~2025-06,기준선 무작위,1,0.3137254901960784,0.022575537578454652,0.9004769616763695,-0.6862745098039216,,
2025-01~2025-06,기준선 초기민원수 상위3,1,1.0,0.20654329147389294,1.0,0.0,,
2025-01~2025-06,기준선 prior만,1,1.0,0.20654329147389294,1.0,0.0,,
2025-01~2025-06,XGB 기존15변수(LOO prior),1,1.0,0.20654329147389294,1.0,0.0,,
2025-01~2025-06,XGB 15변수+이력,1,1.0,0.20654329147389294,1.0,0.0,,
2025-07~2025-12,기준선 무작위,9,0.27884123823692264,0.09096714690536717,0.5990358346751685,-0.38782542842974405,,
2025-07~2025-12,기준선 초기민원수 상위3,9,0.7777777777777778,0.4525833436728054,0.9367762376877727,0.1111111111111111,,
2025-07~2025-12,기준선 prior만,9,0.6666666666666666,0.35419734749908977,0.879418401317257,0.0,,
2025-07~2025-12,XGB 기존15변수(LOO prior),9,0.5555555555555556,0.2666473457440297,0.811224570528086,-0.1111111111111111,,
2025-07~2025-12,XGB 15변수+이력,9,0.5555555555555556,0.2666473457440297,0.811224570528086,-0.1111111111111111,,
2026-01~2026-06,기준선 무작위,1,0.1428571428571429,0.004973677988208913,0.847495399530439,-0.8571428571428571,,
2026-01~2026-06,기준선 초기민원수 상위3,1,1.0,0.20654329147389294,1.0,0.0,,
2026-01~2026-06,기준선 prior만,1,1.0,0.20654329147389294,1.0,0.0,,
2026-01~2026-06,XGB 기존15변수(LOO prior),1,1.0,0.20654329147389294,1.0,0.0,,
2026-01~2026-06,XGB 15변수+이력,1,1.0,0.20654329147389294,1.0,0.0,,
2026-07~2026-07,기준선 무작위,1,0.09090909090909094,0.002059192493743367,0.8289508417548896,0.09090909090909094,,
2026-07~2026-07,기준선 초기민원수 상위3,1,0.0,0.0,0.7934567085261071,0.0,,
2026-07~2026-07,기준선 prior만,1,0.0,0.0,0.7934567085261071,0.0,,
2026-07~2026-07,XGB 기존15변수(LOO prior),1,0.0,0.0,0.7934567085261071,0.0,,
2026-07~2026-07,XGB 15변수+이력,1,0.0,0.0,0.7934567085261071,0.0,,
(합산) 2023년 이후 반기들,기준선 무작위,35,0.2600620965878456,0.1438098249609541,0.4237761334225624,-0.489388452862704,-0.5954362564917627,-0.34237821071226926
(합산) 2023년 이후 반기들,기준선 초기민원수 상위3,35,0.78,0.6191193981496363,0.885494212000306,0.030549450549450557,-0.09704761904761905,0.1923516483516481
(합산) 2023년 이후 반기들,기준선 prior만,35,0.7494505494505495,0.5862855557708478,0.8632720953438967,0.0,0.0,0.0
(합산) 2023년 이후 반기들,XGB 기존15변수(LOO prior),35,0.7428571428571429,0.5793037572935127,0.8583713127344985,-0.0065934065934065925,-0.08571428571428572,0.06593406593406594
(합산) 2023년 이후 반기들,XGB 15변수+이력,35,0.7428571428571429,0.5793037572935127,0.8583713127344985,-0.0065934065934065925,-0.08571428571428572,0.06593406593406594
