gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0,event_id,has_positive,has_future,outside_only
345.0,8,6,2,0,True,26,0,0,0,0,0,0,0,0,2019-06-20 09:36:00,EV2-0001,False,False,False
10.0,6,6,5,5,True,39,2,2,0,0,2,2,2,2,2019-07-13 00:28:00,EV2-0002,True,True,False
31.0,12,12,6,5,True,34,4,4,0,0,4,4,4,4,2019-07-13 08:06:00,EV2-0003,True,True,False
82.0,6,6,4,3,True,40,0,3,3,3,0,0,1,2,2019-07-15 20:15:00,EV2-0004,False,True,True
4.0,6,6,4,1,True,35,0,1,1,1,0,0,0,1,2019-07-18 23:54:00,EV2-0005,False,True,True
50.0,21,18,8,7,True,46,6,6,0,0,6,6,6,6,2019-07-21 22:26:00,EV2-0006,True,True,False
25.0,12,12,10,0,True,49,0,0,0,0,0,0,0,0,2019-07-23 05:47:00,EV2-0007,False,False,False
43.0,13,10,7,15,True,52,8,8,0,0,6,8,8,8,2019-07-23 06:58:00,EV2-0008,True,True,False
3.0,7,7,6,3,True,54,3,3,0,0,2,3,3,3,2019-07-23 07:59:00,EV2-0009,True,True,False
2.0,6,6,5,38,True,39,14,14,0,0,10,14,14,14,2019-07-23 22:53:00,EV2-0010,True,True,False
1.0,21,21,10,2,True,55,2,2,0,0,2,2,2,2,2019-07-23 23:53:00,EV2-0011,True,True,False
138.0,7,7,5,4,True,35,3,3,0,0,2,3,3,3,2019-07-24 06:29:00,EV2-0012,True,True,False
23.0,8,8,8,7,True,57,6,6,0,0,6,6,6,6,2019-07-24 08:00:00,EV2-0013,True,True,False
213.0,7,7,4,1,True,28,0,1,1,1,0,0,1,1,2019-07-24 15:44:00,EV2-0014,False,True,True
15.0,6,6,6,8,True,37,5,5,0,0,4,5,5,5,2019-07-26 07:54:00,EV2-0015,True,True,False
76.0,7,7,4,7,True,24,6,7,1,1,4,6,6,6,2019-07-26 22:35:00,EV2-0016,True,True,False
126.0,8,7,4,22,True,34,7,10,3,3,5,7,9,10,2019-07-28 23:23:00,EV2-0017,True,True,False
1.0,16,16,11,7,True,51,5,5,0,0,5,5,5,5,2019-07-29 00:23:00,EV2-0018,True,True,False
75.0,17,16,7,7,True,47,5,5,0,0,5,5,5,5,2019-07-29 21:15:00,EV2-0019,True,True,False
9.0,6,6,5,8,True,41,5,5,0,0,4,5,5,5,2019-07-30 00:26:00,EV2-0020,True,True,False
4.0,7,7,5,8,True,35,5,6,1,1,5,5,5,6,2019-07-30 01:27:00,EV2-0021,True,True,False
14.0,7,7,4,1,True,24,1,1,0,0,1,1,1,1,2019-07-30 02:31:00,EV2-0022,True,True,False
16.0,12,11,5,12,True,29,8,9,1,1,7,8,8,8,2019-07-30 21:05:00,EV2-0023,True,True,False
46.0,8,7,5,3,True,29,2,2,0,0,2,2,2,2,2019-07-31 04:14:00,EV2-0024,True,True,False
41.0,8,8,7,2,True,42,1,1,0,0,1,1,1,1,2019-07-31 22:27:00,EV2-0025,True,True,False
11.0,11,11,7,20,True,51,9,10,1,1,8,9,10,10,2019-08-01 06:00:00,EV2-0026,True,True,False
39.0,10,9,5,10,True,34,7,8,1,1,4,7,8,8,2019-08-02 05:45:00,EV2-0027,True,True,False
397.0,8,8,4,6,True,26,3,3,0,0,3,3,3,3,2019-08-03 17:52:00,EV2-0028,True,True,False
33.0,7,7,5,12,True,37,4,5,1,2,4,4,4,4,2019-08-03 20:52:00,EV2-0029,True,True,False
3.0,29,26,6,18,True,30,6,6,0,0,6,6,6,6,2019-08-03 21:52:00,EV2-0030,True,True,False
4.0,22,20,10,10,True,52,4,4,0,0,4,4,4,4,2019-08-03 22:52:00,EV2-0031,True,True,False
4.0,12,11,5,19,True,29,5,5,0,0,4,5,5,5,2019-08-03 23:54:00,EV2-0032,True,True,False
1.0,12,9,6,4,True,35,4,4,0,0,4,4,4,4,2019-08-04 00:54:00,EV2-0033,True,True,False
11.0,7,6,5,10,True,29,5,7,2,2,4,5,6,6,2019-08-07 04:11:00,EV2-0034,True,True,False
11.0,6,6,6,2,True,41,2,2,0,0,1,2,2,2,2019-08-07 05:20:00,EV2-0035,True,True,False
28.0,9,8,5,0,True,27,0,0,0,0,0,0,0,0,2019-08-07 07:44:00,EV2-0036,False,False,False
326.0,6,6,4,0,True,24,0,0,0,0,0,0,0,0,2019-08-08 15:05:00,EV2-0037,False,False,False
93.0,8,8,5,8,True,27,5,6,1,1,3,5,5,5,2019-08-08 16:50:00,EV2-0038,True,True,False
11.0,7,7,6,3,True,42,2,2,0,0,2,2,2,2,2019-08-08 17:56:00,EV2-0039,True,True,False
85.0,8,7,4,5,True,40,4,4,0,0,2,4,4,4,2019-08-08 22:13:00,EV2-0040,True,True,False
16.0,15,13,7,4,True,44,3,3,0,0,3,3,3,3,2019-08-08 23:17:00,EV2-0041,True,True,False
29.0,7,7,6,2,True,54,1,1,0,0,1,1,1,1,2019-08-09 20:19:00,EV2-0042,True,True,False
30.0,13,13,4,10,True,31,6,6,0,0,3,6,6,6,2019-08-10 05:56:00,EV2-0043,True,True,False
1.0,8,7,6,2,True,32,2,2,0,0,1,2,2,2,2019-08-10 06:56:00,EV2-0044,True,True,False
9.0,9,6,3,6,True,21,3,3,0,0,3,3,3,3,2019-08-10 21:47:00,EV2-0045,True,True,False
52.0,9,6,5,2,True,40,2,2,0,0,2,2,2,2,2019-08-13 00:20:00,EV2-0046,True,True,False
17.0,7,7,4,4,True,34,3,3,0,0,2,3,3,3,2019-08-14 04:06:00,EV2-0047,True,True,False
16.0,6,6,6,1,True,36,1,1,0,0,1,1,1,1,2019-08-14 06:24:00,EV2-0048,True,True,False
17.0,7,7,5,8,True,37,3,3,0,0,2,3,3,3,2019-08-18 23:54:00,EV2-0049,True,True,False
28.0,7,7,6,2,True,42,1,1,0,0,1,1,1,1,2019-08-23 03:00:00,EV2-0050,True,True,False
18.0,6,6,5,10,True,43,6,7,1,1,4,6,7,7,2019-08-23 07:15:00,EV2-0051,True,True,False
5.0,12,12,7,0,True,38,0,0,0,0,0,0,0,0,2019-08-23 08:15:00,EV2-0052,False,False,False
19.0,10,7,5,0,True,39,0,0,0,0,0,0,0,0,2019-08-23 22:49:00,EV2-0053,False,False,False
16.0,8,8,6,5,True,38,3,3,0,0,3,3,3,3,2019-08-24 22:13:00,EV2-0054,True,True,False
18.0,15,15,5,3,True,33,3,3,0,0,3,3,3,3,2019-08-24 23:14:00,EV2-0055,True,True,False
85.0,6,6,5,11,True,32,8,9,1,1,5,8,9,9,2019-08-26 00:59:00,EV2-0056,True,True,False
22.0,6,6,4,3,True,40,3,3,0,0,3,3,3,3,2019-08-26 02:10:00,EV2-0057,True,True,False
14.0,29,23,10,28,True,49,11,11,0,0,11,11,11,11,2019-08-28 22:44:00,EV2-0058,True,True,False
2.0,10,10,8,7,True,41,7,7,0,0,6,7,7,7,2019-08-28 23:44:00,EV2-0059,True,True,False
57.0,9,9,4,0,True,32,0,0,0,0,0,0,0,0,2019-08-29 23:25:00,EV2-0060,False,False,False
8.0,13,12,6,44,True,42,7,9,2,2,6,7,9,9,2019-08-30 21:22:00,EV2-0061,True,True,False
218.0,10,10,7,7,True,47,5,5,0,0,5,5,5,5,2019-08-31 22:06:00,EV2-0062,True,True,False
2.0,13,12,7,5,True,40,4,4,0,0,4,4,4,4,2019-08-31 23:06:00,EV2-0063,True,True,False
20.0,6,6,5,2,True,41,0,2,2,2,0,0,1,2,2019-09-02 00:43:00,EV2-0064,False,True,True
39.0,6,6,5,0,True,37,0,0,0,0,0,0,0,0,2019-09-02 17:29:00,EV2-0065,False,False,False
22.0,17,17,8,10,True,43,7,8,1,1,7,7,8,8,2019-09-03 21:48:00,EV2-0066,True,True,False
25.0,10,8,5,8,True,33,5,6,1,1,4,5,6,6,2019-09-04 18:20:00,EV2-0067,True,True,False
2.0,6,6,4,3,True,24,3,3,0,0,3,3,3,3,2019-09-04 19:20:00,EV2-0068,True,True,False
2.0,6,6,4,5,True,31,4,4,0,0,4,4,4,4,2019-09-04 23:06:00,EV2-0069,True,True,False
28.0,8,8,7,6,True,44,6,6,0,0,5,6,6,6,2019-09-05 09:17:00,EV2-0070,True,True,False
27.0,6,6,4,2,True,34,2,2,0,0,2,2,2,2,2019-09-07 20:16:00,EV2-0071,True,True,False
3.0,8,8,4,2,True,28,2,2,0,0,2,2,2,2,2019-09-08 00:35:00,EV2-0072,True,True,False
705.0,10,9,4,0,True,30,0,0,0,0,0,0,0,0,2019-09-10 20:07:00,EV2-0073,False,False,False
33.0,6,6,5,11,True,40,7,7,0,0,7,7,7,7,2019-09-16 23:21:00,EV2-0074,True,True,False
2.0,6,6,6,1,True,43,1,1,0,0,1,1,1,1,2019-09-17 00:22:00,EV2-0075,True,True,False
7.0,6,6,4,0,True,31,0,0,0,0,0,0,0,0,2019-09-20 20:23:00,EV2-0076,False,False,False
29.0,7,6,5,1,True,36,1,1,0,0,1,1,1,1,2019-09-23 22:16:00,EV2-0077,True,True,False
29.0,10,10,5,4,True,27,4,4,0,0,3,4,4,4,2019-10-01 16:16:00,EV2-0078,True,True,False
168.0,9,8,4,1,True,35,1,1,0,0,1,1,1,1,2020-05-23 23:23:00,EV2-0079,True,True,False
1321.0,18,13,6,0,True,35,0,0,0,0,0,0,0,0,2020-06-16 00:58:00,EV2-0080,False,False,False
24.0,12,11,8,7,True,47,4,4,0,0,4,4,4,4,2020-07-06 06:35:00,EV2-0081,True,True,False
21.0,6,6,5,0,True,46,0,0,0,0,0,0,0,0,2020-07-06 07:57:00,EV2-0082,False,False,False
23.0,6,6,4,2,True,24,2,2,0,0,2,2,2,2,2020-07-09 18:41:00,EV2-0083,True,True,False
120.0,6,6,4,0,True,24,0,0,0,0,0,0,0,0,2020-07-18 08:05:00,EV2-0084,False,False,False
78.0,7,7,5,4,True,29,3,3,0,0,2,3,3,3,2020-07-23 08:00:00,EV2-0085,True,True,False
31.0,6,6,4,4,True,30,3,3,0,0,3,3,3,3,2020-07-26 22:25:00,EV2-0086,True,True,False
28.0,25,20,7,15,True,38,6,6,0,0,6,6,6,6,2020-08-01 20:49:00,EV2-0087,True,True,False
8.0,16,12,7,5,True,35,4,5,1,1,4,4,5,5,2020-08-01 21:54:00,EV2-0088,True,True,False
13.0,7,7,5,3,True,29,1,1,0,0,1,1,1,1,2020-08-01 22:55:00,EV2-0089,True,True,False
37.0,39,31,7,42,True,43,9,9,0,0,8,9,9,9,2020-08-02 20:36:00,EV2-0090,True,True,False
1.0,17,16,8,17,True,37,8,8,0,0,7,8,8,8,2020-08-02 21:36:00,EV2-0091,True,True,False
2.0,13,12,6,4,True,34,2,4,2,2,2,2,3,4,2020-08-02 22:37:00,EV2-0092,True,True,False
62.0,7,7,5,2,True,42,0,1,1,2,0,0,1,1,2020-08-03 07:18:00,EV2-0093,False,True,True
20.0,13,11,6,14,True,38,6,6,0,0,5,6,6,6,2020-08-03 21:42:00,EV2-0094,True,True,False
2.0,6,6,5,0,True,29,0,0,0,0,0,0,0,0,2020-08-03 22:42:00,EV2-0095,False,False,False
100.0,16,16,8,8,True,42,6,6,0,0,4,6,6,6,2020-08-04 01:43:00,EV2-0096,True,True,False
34.0,7,6,5,1,True,37,1,1,0,0,1,1,1,1,2020-08-04 07:59:00,EV2-0097,True,True,False
173.0,14,13,6,11,True,38,7,7,0,0,6,7,7,7,2020-08-04 19:27:00,EV2-0098,True,True,False
25.0,6,6,5,6,True,37,3,3,0,0,3,3,3,3,2020-08-04 20:55:00,EV2-0099,True,True,False
11.0,9,9,6,7,True,35,1,5,4,6,1,1,3,4,2020-08-04 21:58:00,EV2-0100,True,True,False
9.0,6,6,4,3,True,36,2,3,1,1,2,2,3,3,2020-08-04 23:03:00,EV2-0101,True,True,False
27.0,7,6,4,0,True,32,0,0,0,0,0,0,0,0,2020-08-05 09:06:00,EV2-0102,False,False,False
45.0,6,6,4,2,True,33,2,2,0,0,2,2,2,2,2020-08-05 21:20:00,EV2-0103,True,True,False
28.0,7,7,6,19,True,38,7,7,0,0,6,7,7,7,2020-08-06 22:29:00,EV2-0104,True,True,False
12.0,12,11,5,9,True,27,3,3,0,0,3,3,3,3,2020-08-08 22:02:00,EV2-0105,True,True,False
56.0,7,6,5,2,True,52,1,1,0,0,1,1,1,1,2020-08-08 23:55:00,EV2-0106,True,True,False
22.0,16,11,5,21,True,32,10,12,2,2,8,10,11,12,2020-08-09 19:22:00,EV2-0107,True,True,False
3.0,6,6,4,7,True,28,5,5,0,0,3,5,5,5,2020-08-09 20:23:00,EV2-0108,True,True,False
6.0,10,9,6,11,True,36,5,6,1,1,4,5,6,6,2020-08-09 21:25:00,EV2-0109,True,True,False
13.0,6,6,5,2,True,37,1,1,0,0,1,1,1,1,2020-08-10 08:32:00,EV2-0110,True,True,False
