폴드,표본,모델,ROC-AUC(후보내),PR-AUC(후보내),Hit@3(후보내),Recall@3(후보내),Hit@3(전체),Recall@3(전체),평가 Event 수(후보내),평가 Event 수(전체),테스트 Event 수,양성률
2021-01~2021-12,충분,기준선 무작위,0.5,0.0700280112044818,0.25407049997573833,0.08727145165828969,0.2492767169573282,0.07738136171760805,52,53,68,0.0700280112044818
2021-01~2021-12,충분,기준선 초기민원수 상위3,0.699033685763462,0.20414221942009542,0.6878205128205128,0.3322580197580197,0.6748427672955974,0.28342454191510796,52,53,68,0.0700280112044818
2021-01~2021-12,충분,기준선 prior만,0.8501598229653307,0.25569585907006676,0.6538461538461539,0.31593614718614715,0.6415094339622641,0.2716640801546462,52,53,68,0.0700280112044818
2021-01~2021-12,충분,XGB 기존15변수(LOO prior),0.8397393656257683,0.331162345265999,0.7115384615384616,0.3324196636696637,0.6981132075471698,0.28843556862424785,52,53,68,0.0700280112044818
2021-01~2021-12,충분,XGB 15변수+이력,0.8434423407917384,0.3170331655211533,0.7307692307692307,0.35039127539127535,0.7169811320754716,0.29727871709003784,52,53,68,0.0700280112044818
2022-01~2022-12,충분,기준선 무작위,0.5,0.07829787234042553,0.25730642604990595,0.09608973426739434,0.2417120971983965,0.08171077209839407,31,33,38,0.07829787234042553
2022-01~2022-12,충분,기준선 초기민원수 상위3,0.7261531976394074,0.26815031869148426,0.7709677419354838,0.39549923195084485,0.7242424242424242,0.3288888888888889,31,33,38,0.07829787234042553
2022-01~2022-12,충분,기준선 prior만,0.8828535870568871,0.3655525973925143,0.8064516129032258,0.44623655913978494,0.7575757575757576,0.3763347763347763,31,33,38,0.07829787234042553
2022-01~2022-12,충분,XGB 기존15변수(LOO prior),0.873067967401341,0.40768294570679064,0.8064516129032258,0.45806451612903226,0.7575757575757576,0.38492063492063494,31,33,38,0.07829787234042553
2022-01~2022-12,충분,XGB 15변수+이력,0.8781966357541451,0.387013628591022,0.7741935483870968,0.44086021505376344,0.7272727272727273,0.3645021645021645,31,33,38,0.07829787234042553
2023-07~2023-12,작음(참고용),기준선 무작위,0.5,0.03283582089552239,0.12962590773124288,0.07991916668387257,0.09721943079843216,0.054582232155761565,6,8,9,0.03283582089552239
2023-07~2023-12,작음(참고용),기준선 초기민원수 상위3,0.6712962962962963,0.19193642178716805,0.5833333333333334,0.37333333333333335,0.4375,0.28,6,8,9,0.03283582089552239
2023-07~2023-12,작음(참고용),기준선 prior만,0.79503367003367,0.10607322546669501,0.5,0.5,0.375,0.3125,6,8,9,0.03283582089552239
2023-07~2023-12,작음(참고용),XGB 기존15변수(LOO prior),0.8153759820426487,0.10771511099156772,0.8333333333333334,0.7000000000000001,0.625,0.4625,6,8,9,0.03283582089552239
2023-07~2023-12,작음(참고용),XGB 15변수+이력,0.8361391694725028,0.11165075970224268,0.5,0.5,0.375,0.3125,6,8,9,0.03283582089552239
2024-01~2024-06,작음(참고용),기준선 무작위,0.5,0.012987012987012988,0.23076923076923073,0.23076923076923078,0.23076923076923073,0.23076923076923078,1,1,3,0.012987012987012988
2024-01~2024-06,작음(참고용),기준선 초기민원수 상위3,1.0,1.0,1.0,1.0,1.0,1.0,1,1,3,0.012987012987012988
2024-01~2024-06,작음(참고용),기준선 prior만,0.32894736842105265,0.012987012987012988,0.23076923076923073,0.23076923076923078,0.23076923076923073,0.23076923076923078,1,1,3,0.012987012987012988
2024-01~2024-06,작음(참고용),XGB 기존15변수(LOO prior),0.7368421052631579,0.047619047619047616,1.0,1.0,1.0,1.0,1,1,3,0.012987012987012988
2024-01~2024-06,작음(참고용),XGB 15변수+이력,1.0,1.0,1.0,1.0,1.0,1.0,1,1,3,0.012987012987012988
