폴드,학습 기간,학습 Event,테스트 Event,예측창에 민원 있음,후보 안 정답 있음,후보 밖에만 있음,상태,표본
2021-01~2021-12,2019-06~2020-10,150,71,63,62,1,사용,충분
2022-01~2022-12,2019-06~2021-10,221,40,36,34,2,사용,충분
2023-01~2023-06,2019-06~2022-10,261,0,0,0,0,제외(테스트 Event 0개),
2023-07~2023-12,2019-06~2022-10,261,9,7,7,0,사용,"작음(<15, 참고용)"
2024-01~2024-06,2019-06~2023-10,270,3,1,1,0,사용,"작음(<15, 참고용)"
2024-07~2024-12,2019-06~2024-06,273,18,15,15,0,사용,충분
2025-01~2025-06,2019-06~2024-10,291,1,1,1,0,사용,"작음(<15, 참고용)"
2025-07~2025-12,2019-06~2025-06,292,12,9,9,0,사용,"작음(<15, 참고용)"
2026-01~2026-06,2019-06~2025-10,304,1,1,1,0,사용,"작음(<15, 참고용)"
2026-07~2026-07,2019-06~2026-06,305,1,1,1,0,사용,"작음(<15, 참고용)"
