gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0_override,t_pred_min,lead_gain_min,t0,event_id,has_positive,has_future,outside_only
9.0,7,7,5,2,True,36,1,1,0,0,1,1,1,1,26049639,26049669,7,2019-07-13 00:39:00,EV2-0001,True,True,False
20.0,7,7,4,10,True,33,7,7,0,0,6,7,7,7,26050075,26050105,11,2019-07-13 07:55:00,EV2-0002,True,True,False
33.0,10,9,4,18,True,34,7,8,1,1,6,7,8,8,26062449,26062479,17,2019-07-21 22:09:00,EV2-0003,True,True,False
9.0,7,7,7,5,True,42,4,4,0,0,4,4,4,4,26064331,26064361,16,2019-07-23 05:31:00,EV2-0004,True,True,False
29.0,9,7,6,13,True,47,6,6,0,0,4,6,6,6,26064404,26064434,14,2019-07-23 06:44:00,EV2-0005,True,True,False
3.0,13,11,9,2,True,64,2,2,0,0,2,2,2,2,26064465,26064495,0,2019-07-23 07:45:00,EV2-0006,True,True,False
2.0,9,8,6,37,True,44,14,14,0,0,11,14,14,14,26065375,26065405,5,2019-07-23 22:55:00,EV2-0007,True,True,False
138.0,7,7,5,4,True,35,3,3,0,0,2,3,3,3,26065829,26065859,0,2019-07-24 06:29:00,EV2-0008,True,True,False
17.0,7,7,7,7,True,56,6,6,0,0,6,6,6,6,26065914,26065944,6,2019-07-24 07:54:00,EV2-0009,True,True,False
203.0,7,7,4,0,True,28,0,0,0,0,0,0,0,0,26066374,26066404,10,2019-07-24 15:34:00,EV2-0010,False,False,False
5.0,7,7,6,6,True,38,4,4,0,0,3,4,4,4,26068799,26068829,7,2019-07-26 07:59:00,EV2-0011,True,True,False
76.0,7,7,4,7,True,24,6,7,1,1,4,6,6,6,26069675,26069705,0,2019-07-26 22:35:00,EV2-0012,True,True,False
125.0,7,7,4,22,True,34,6,9,3,3,5,6,8,9,26072602,26072632,1,2019-07-28 23:22:00,EV2-0013,True,True,False
2.0,16,16,10,6,True,51,4,4,0,0,4,4,4,4,26072665,26072695,0,2019-07-29 00:25:00,EV2-0014,True,True,False
56.0,8,8,3,11,True,31,5,5,0,0,4,5,5,5,26073896,26073926,19,2019-07-29 20:56:00,EV2-0015,True,True,False
6.0,7,7,5,2,True,39,1,1,0,0,1,1,1,1,26073956,26073986,0,2019-07-29 21:56:00,EV2-0016,True,True,False
3.0,8,8,4,8,True,26,5,5,0,0,4,5,5,5,26074126,26074156,1,2019-07-30 00:46:00,EV2-0017,True,True,False
17.0,11,10,7,5,True,43,2,2,0,0,1,2,2,2,26074188,26074218,1,2019-07-30 01:48:00,EV2-0018,True,True,False
12.0,10,9,4,13,True,26,8,9,1,1,7,8,8,8,26075341,26075371,4,2019-07-30 21:01:00,EV2-0019,True,True,False
42.0,7,7,5,4,True,29,2,2,0,0,2,2,2,2,26075770,26075800,4,2019-07-31 04:10:00,EV2-0020,True,True,False
31.0,7,7,6,3,True,37,2,2,0,0,1,2,2,2,26076857,26076887,10,2019-07-31 22:17:00,EV2-0021,True,True,False
4.0,7,7,6,21,True,46,9,10,1,1,7,9,10,10,26077313,26077343,7,2019-08-01 05:53:00,EV2-0022,True,True,False
27.0,7,7,4,10,True,34,7,8,1,1,5,7,8,8,26078733,26078763,12,2019-08-02 05:33:00,EV2-0023,True,True,False
393.0,7,7,4,6,True,26,3,3,0,0,3,3,3,3,26080908,26080938,4,2019-08-03 17:48:00,EV2-0024,True,True,False
32.0,7,7,5,12,True,37,4,5,1,2,4,4,4,4,26081091,26081121,1,2019-08-03 20:51:00,EV2-0025,True,True,False
2.0,29,26,6,18,True,30,6,6,0,0,6,6,6,6,26081151,26081181,1,2019-08-03 21:51:00,EV2-0026,True,True,False
