폴드,표본,모델,ROC-AUC(후보내),PR-AUC(후보내),Hit@3(후보내),Recall@3(후보내),Hit@3(전체),Recall@3(전체),평가 Event 수(후보내),평가 Event 수(전체),테스트 Event 수,양성률
2021-01~2021-12,충분,기준선 무작위,0.5,0.09854014598540146,0.3087828418358371,0.09430352886311123,0.3016018455140734,0.0782930062978842,42,43,48,0.09854014598540146
2021-01~2021-12,충분,기준선 초기민원수 상위3,0.6947839089651955,0.24307559574224397,0.71281179138322,0.32268896447467876,0.6962347729789591,0.26536947548575457,42,43,48,0.09854014598540146
2021-01~2021-12,충분,기준선 prior만,0.8600823045267488,0.3751874633214153,0.7142857142857143,0.37374338624338627,0.6976744186046512,0.2964310882915534,42,43,48,0.09854014598540146
2021-01~2021-12,충분,XGB 기존15변수(LOO prior),0.8565210509654954,0.3636117045254726,0.7619047619047619,0.39458616780045347,0.7441860465116279,0.3317393201114131,42,43,48,0.09854014598540146
2021-01~2021-12,충분,XGB 15변수+이력,0.8650222422152247,0.37757424589337973,0.7142857142857143,0.3461734693877551,0.6976744186046512,0.28078794590422496,42,43,48,0.09854014598540146
2022-01~2022-12,충분,기준선 무작위,0.5,0.11624649859943978,0.32821108938626886,0.10107375259621863,0.32821108938626886,0.09359205275047353,22,22,23,0.11624649859943978
2022-01~2022-12,충분,기준선 초기민원수 상위3,0.7384625665896549,0.3647637862430243,0.8787878787878788,0.39502164502164505,0.8787878787878788,0.3647727272727272,22,22,23,0.11624649859943978
2022-01~2022-12,충분,기준선 prior만,0.9088175204781088,0.5376313955431508,0.9090909090909091,0.44556277056277066,0.9090909090909091,0.408982683982684,22,22,23,0.11624649859943978
2022-01~2022-12,충분,XGB 기존15변수(LOO prior),0.9089416302293165,0.558440791707062,0.8636363636363636,0.4061688311688311,0.8636363636363636,0.3706709956709957,22,22,23,0.11624649859943978
2022-01~2022-12,충분,XGB 15변수+이력,0.9165218719569244,0.5884424122757594,0.8636363636363636,0.4072510822510823,0.8636363636363636,0.3706709956709957,22,22,23,0.11624649859943978
2023-07~2023-12,작음(참고용),기준선 무작위,0.5,0.05,0.2476145805414098,0.07735191637630662,0.18571093540605735,0.038588850174216024,3,4,6,0.05
2023-07~2023-12,작음(참고용),기준선 초기민원수 상위3,0.6237494562853415,0.12093515803193224,0.4666666666666666,0.16296296296296298,0.35,0.1,3,4,6,0.05
2023-07~2023-12,작음(참고용),기준선 prior만,0.8199217050891692,0.15513241084049284,1.0,0.47222222222222227,0.75,0.20238095238095236,3,4,6,0.05
2023-07~2023-12,작음(참고용),XGB 기존15변수(LOO prior),0.8234014789038713,0.19359570612580534,1.0,0.47222222222222227,0.75,0.20238095238095236,3,4,6,0.05
2023-07~2023-12,작음(참고용),XGB 15변수+이력,0.8464549804262722,0.23051224937852846,1.0,0.47222222222222227,0.75,0.20238095238095236,3,4,6,0.05
2024-07~2024-12,충분,기준선 무작위,0.5,0.09480812641083522,0.2575560139558642,0.12251859773999763,0.2575560139558642,0.1157804795930579,15,15,15,0.09480812641083522
2024-07~2024-12,충분,기준선 초기민원수 상위3,0.7998456240351501,0.434969183598658,0.9222222222222223,0.5853703703703703,0.9222222222222223,0.5580687830687832,15,15,15,0.09480812641083522
2024-07~2024-12,충분,기준선 prior만,0.8088113050706567,0.3361042902363485,0.7239316239316239,0.363931623931624,0.7239316239316239,0.3371062271062272,15,15,15,0.09480812641083522
2024-07~2024-12,충분,XGB 기존15변수(LOO prior),0.8705616910105688,0.39401121539480455,0.9333333333333333,0.5622222222222223,0.9333333333333333,0.5369841269841269,15,15,15,0.09480812641083522
2024-07~2024-12,충분,XGB 15변수+이력,0.8912243201520009,0.39482116780277293,0.9333333333333333,0.5955555555555556,0.9333333333333333,0.5631746031746032,15,15,15,0.09480812641083522
2025-01~2025-06,작음(참고용),기준선 무작위,0.5,0.1111111111111111,0.3137254901960784,0.16666666666666666,0.3137254901960784,0.16666666666666666,1,1,1,0.1111111111111111
2025-01~2025-06,작음(참고용),기준선 초기민원수 상위3,0.734375,0.5555555555555556,1.0,0.53125,1.0,0.53125,1,1,1,0.1111111111111111
2025-01~2025-06,작음(참고용),기준선 prior만,0.625,0.2159090909090909,0.0,0.0,0.0,0.0,1,1,1,0.1111111111111111
2025-01~2025-06,작음(참고용),XGB 기존15변수(LOO prior),0.75,0.6,1.0,0.5,1.0,0.5,1,1,1,0.1111111111111111
2025-01~2025-06,작음(참고용),XGB 15변수+이력,0.71875,0.5909090909090909,1.0,0.5,1.0,0.5,1,1,1,0.1111111111111111
2025-07~2025-12,작음(참고용),기준선 무작위,0.5,0.0708955223880597,0.23486958215123174,0.10906050502824696,0.23486958215123174,0.10906050502824696,7,7,8,0.0708955223880597
2025-07~2025-12,작음(참고용),기준선 초기민원수 상위3,0.7710843373493975,0.26602198499291974,0.6523809523809525,0.40738095238095234,0.6523809523809525,0.40738095238095234,7,7,8,0.0708955223880597
2025-07~2025-12,작음(참고용),기준선 prior만,0.8266751215387866,0.31344635046727665,0.42857142857142855,0.2214285714285714,0.42857142857142855,0.2214285714285714,7,7,8,0.0708955223880597
2025-07~2025-12,작음(참고용),XGB 기존15변수(LOO prior),0.886704713591207,0.4176317672484686,0.42857142857142855,0.2214285714285714,0.42857142857142855,0.2214285714285714,7,7,8,0.0708955223880597
2025-07~2025-12,작음(참고용),XGB 15변수+이력,0.8873388290002113,0.4185092921752242,0.42857142857142855,0.2214285714285714,0.42857142857142855,0.2214285714285714,7,7,8,0.0708955223880597
2026-07~2026-07,작음(참고용),기준선 무작위,0.5,0.024390243902439025,0.07317073170731703,0.07317073170731707,0.07317073170731703,0.036585365853658534,1,1,1,0.024390243902439025
2026-07~2026-07,작음(참고용),기준선 초기민원수 상위3,0.925,0.16666666666666666,0.4,0.4,0.4,0.2,1,1,1,0.024390243902439025
2026-07~2026-07,작음(참고용),기준선 prior만,0.725,0.08333333333333333,0.0,0.0,0.0,0.0,1,1,1,0.024390243902439025
2026-07~2026-07,작음(참고용),XGB 기존15변수(LOO prior),0.575,0.05555555555555555,0.0,0.0,0.0,0.0,1,1,1,0.024390243902439025
2026-07~2026-07,작음(참고용),XGB 15변수+이력,0.625,0.0625,0.0,0.0,0.0,0.0,1,1,1,0.024390243902439025
